sample,scan_point,ring0_mean,ring0_std,ring0_cv,ring0_peak_valley,ring0_skewness,ring0_kurtosis,ring0_entropy,ring0_acf_length_deg,ring0_n_texture_peaks,ring0_completeness,ring0_integrated,ring0_texture_index,ring0_peak_fwhm_mean_deg,ring0_peak_fwhm_std_deg,ring0_peak_asymmetry_mean,ring0_fiber_symmetry_index,ring0_fourier_c2,ring0_fourier_c4,ring0_fourier_c6,ring0_arc_imbalance,ring0_warren_grain_proxy,ring0_cwt_n_peaks,ring0_cwt_dominant_scale_deg,ring0_cwt_total_power,ring0_cwt_scale_entropy,ring1_mean,ring1_std,ring1_cv,ring1_peak_valley,ring1_skewness,ring1_kurtosis,ring1_entropy,ring1_acf_length_deg,ring1_n_texture_peaks,ring1_completeness,ring1_integrated,ring1_texture_index,ring1_peak_fwhm_mean_deg,ring1_peak_fwhm_std_deg,ring1_peak_asymmetry_mean,ring1_fiber_symmetry_index,ring1_fourier_c2,ring1_fourier_c4,ring1_fourier_c6,ring1_arc_imbalance,ring1_warren_grain_proxy,ring1_cwt_n_peaks,ring1_cwt_dominant_scale_deg,ring1_cwt_total_power,ring1_cwt_scale_entropy,ring2_mean,ring2_std,ring2_cv,ring2_peak_valley,ring2_skewness,ring2_kurtosis,ring2_entropy,ring2_acf_length_deg,ring2_n_texture_peaks,ring2_completeness,ring2_integrated,ring2_texture_index,ring2_peak_fwhm_mean_deg,ring2_peak_fwhm_std_deg,ring2_peak_asymmetry_mean,ring2_fiber_symmetry_index,ring2_fourier_c2,ring2_fourier_c4,ring2_fourier_c6,ring2_arc_imbalance,ring2_warren_grain_proxy,ring2_cwt_n_peaks,ring2_cwt_dominant_scale_deg,ring2_cwt_total_power,ring2_cwt_scale_entropy
scan_point_63,63,284.22222900390625,1803.317626953125,6.344745213184367,23371437500000.0,10.979904174804688,128.31521606445312,3.394294500350952,2.0000001192092896,11,0.95,102320.0078125,41.25578689575195,7.623272995702257,19.32652057949799,0.4017940397169536,1.6296697635303403,0.747614324092865,1.1483497619628906,0.9528544545173645,-0.5710557699203491,40.25579071044922,3,25.00000149011612,234607532.06918427,3.3908029263984174,43.99568557739258,9.23662281036377,0.2099438317449486,54428382873.53516,-3.3127806186676025,12.841984748840332,5.849518775939941,5.000000298023224,31,0.95,15838.447265625,1.0440765619277954,90.99889046688803,33.79696804026287,0.0493644738948096,0.12736180438356162,0.057220421731472015,0.07870130240917206,0.028262466192245483,-0.04991626739501953,0.04407641291618347,4,30.000001788139343,59386.5390008786,3.02160492099425,33.12020492553711,10.66482162475586,0.3220034914860331,161217895507.8125,6.542099475860596,75.6186294555664,5.840542793273926,3.0000001788139343,25,0.95,11923.2734375,1.103685975074768,101.80896492071898,66.92775773297848,0.02924700734939165,0.19590933918408293,0.061531394720077515,0.03312813490629196,0.08127225190401077,-0.06923909485340118,0.10368624329566956,7,30.000001788139343,34410.82100252807,3.211029752620328
scan_point_64,64,70.9637680053711,75.7802734375,1.0678727408015363,737058715820.3125,5.328028678894043,33.91981506347656,5.582579612731934,3.0000001788139343,17,0.95,25546.95703125,2.1403520107269287,40.181045896379906,38.098068414987935,-0.28637729787202065,0.6510416036845,0.16445806622505188,0.14774543046951294,0.08196107298135757,-0.09662957489490509,1.1403521299362183,15,10.000000596046448,601750.2872349813,3.367741659519007,40.66029357910156,8.501705169677734,0.20909109161099151,49353687286.37695,-3.382702589035034,13.147916793823242,5.849626541137695,4.000000238418579,40,0.95,14637.7060546875,1.0437191724777222,107.69524315033925,56.60939739885137,0.08017765960978522,0.12923998144797105,0.06749175488948822,0.056702014058828354,0.027210542932152748,-0.057964663952589035,0.043719079345464706,4,30.000001788139343,45185.38270085876,3.0469907349127,31.279451370239258,5.91080379486084,0.18896763005519518,58553627014.16016,-2.3638758659362793,15.460073471069336,5.858944892883301,3.0000001788139343,41,0.95,11260.6025390625,1.0357087850570679,100.15031928092758,41.20410087553847,-0.0037880961507818513,0.14466905865300725,0.024921901524066925,0.07612266391515732,0.09839381277561188,-0.021341342478990555,0.03570876643061638,5,30.000001788139343,29556.20964867276,3.0516530107496957
scan_point_65,65,72.38951110839844,18.98925018310547,0.26232046455833,93712142944.33594,-2.087571382522583,6.0453338623046875,5.832287788391113,6.000000357627869,13,0.95,26060.22265625,1.0688117742538452,67.73717357952489,25.688310923917026,0.09012537213115715,0.11427158375708237,0.015792639926075935,0.12189822643995285,0.05258472263813019,-0.02247258648276329,0.06881202757358551,4,30.000001788139343,233627.58365628822,3.008194239729936,64.68128967285156,14.06482982635498,0.21744819711376842,77352867126.46484,-3.007903575897217,10.918360710144043,5.847809791564941,5.000000298023224,36,0.95,23285.265625,1.0472838878631592,90.76402401710216,60.4921116395911,0.048661751478988303,0.10333833627202,0.059061240404844284,0.07703454792499542,0.028206590563058853,-0.045444175601005554,0.04728371649980545,4,30.000001788139343,135517.16628071514,3.0173149798345045,45.81990051269531,7.210440635681152,0.15736482521788445,50925220489.50195,-5.4773077964782715,31.15487289428711,5.863577842712402,3.0000001788139343,60,0.95,16495.1640625,1.0247637033462524,80.7573892555997,49.215696009936494,0.16646430408887072,0.08133137497273589,0.006121235899627209,0.06202056631445885,0.016970984637737274,-0.03878536820411682,0.024763688445091248,4,30.000001788139343,53167.86887514792,3.023476162906917
scan_point_66,66,90.59777069091797,22.60910987854004,0.24955481471694207,131517807006.83592,-2.521552085876465,7.906177520751953,5.8353071212768555,5.000000298023224,15,0.95,32615.197265625,1.0622775554656982,81.06196694917097,56.078274892324764,0.13721436022503572,0.1101126775749753,0.02301270142197609,0.11800289899110794,0.05217738822102547,-0.024694979190826416,0.06227760761976242,4,30.000001788139343,330277.6619719792,3.0209455759673722,78.98590850830078,16.544363021850586,0.2094596787490506,93346611022.94922,-3.381714344024658,13.135910034179688,5.849445819854736,5.000000298023224,28,0.95,28434.92578125,1.0438733100891113,73.92604349164002,36.21399144102786,0.0698722482825525,0.1003796606765753,0.053460728377103806,0.07731126993894577,0.030245831236243248,-0.045238882303237915,0.04387335479259491,4,30.000001788139343,193410.3723295424,3.022872952993892,54.67493438720703,8.559462547302246,0.156551857688283,61181476593.01758,-5.539431095123291,31.84859848022461,5.863700866699219,3.0000001788139343,50,0.95,19682.9765625,1.0245087146759033,98.76688565425103,56.50074699626385,0.0723316424136545,0.08038787970697162,0.005863685626536608,0.058969516307115555,0.017693279311060905,-0.03849024325609207,0.024508483707904816,4,30.000001788139343,74641.92654755434,3.017230668003622
scan_point_67,67,69.87923431396484,101.0745620727539,1.446417709997073,1897585693359.375,16.46936798095703,294.0963134765625,5.608243465423584,1.0000000596046448,22,0.95,25156.5234375,3.0921237468719482,52.676309872567664,35.44581724792099,0.06794454485755219,0.43619309117672894,0.18704921007156372,0.3162696063518524,0.32107463479042053,0.031818050891160965,2.0921239852905273,6,25.00000149011612,794413.7161697616,3.3614187194020104,42.72688293457031,9.189351081848145,0.2150718809963327,56454406738.28125,-3.0951836109161377,11.664068222045898,5.848293781280518,5.000000298023224,39,0.95,15381.677734375,1.0462558269500732,100.01830237233463,47.85225412245449,0.022190236312947156,0.12728496492752242,0.07640239596366882,0.08662965893745422,0.023436889052391052,-0.05408712103962898,0.046255916357040405,4,30.000001788139343,54343.48767507287,3.0029940796563075,34.142581939697266,9.864679336547852,0.2889259914194796,126907226562.49998,4.249581336975098,43.85127639770508,5.844348430633545,3.0000001788139343,25,0.95,12291.330078125,1.083478331565857,68.96048597080342,38.78562504805734,0.07760172645639747,0.170080479893024,0.06404679268598557,0.06424044817686081,0.039083462208509445,-0.007632174529135227,0.08347823470830917,7,30.000001788139343,27923.28635090928,3.261533398670737
scan_point_68,68,112.49059295654297,491.8603820800781,4.372457902058461,7954278808593.749,13.226548194885254,192.29794311523438,4.545528411865234,1.0000000596046448,11,0.95,40496.61328125,20.118391036987305,54.8641477944931,67.30308248539468,0.14428623666360593,1.0774484562695463,0.5064529776573181,0.6662589907646179,0.8115890026092529,0.35407349467277527,19.11838722229004,4,15.000000894069672,13376601.309791427,3.375222478840259,40.784950256347656,8.95971965789795,0.21968200528829832,54455043792.72461,-2.867316484451294,10.404210090637207,5.847414970397949,5.000000298023224,37,0.95,14682.58203125,1.04826021194458,110.84629751680318,39.672727452907225,-0.03256949253947493,0.13311338870097447,0.06435395777225494,0.1102946475148201,0.02619919367134571,-0.0422753244638443,0.04826018959283829,4,30.000001788139343,55775.84170025291,3.0008435487020106,32.546268463134766,13.519109725952148,0.41538125150246563,188029891967.77344,6.8890790939331055,68.16813659667969,5.821906566619873,4.000000238418579,16,0.95,11716.65625,1.1725414991378784,89.51197747027408,57.849198256932695,0.15105161682405754,0.25504748830865154,0.09465980529785156,0.08753062039613724,0.15065374970436096,-0.10114715248346329,0.1725415736436844,7,30.000001788139343,47566.96768214772,3.259692572574069
scan_point_69,69,101.81827545166016,287.434326171875,2.8230131073899303,4345887695312.4995,12.162455558776855,160.75221252441406,5.093975067138672,2.0000001192092896,18,0.95,36654.578125,8.969401359558105,23.964144270405168,23.316836123504007,0.002703013649694277,0.8291134729299205,0.5142382383346558,0.21033993363380432,0.3489578068256378,0.14434470236301422,7.969402313232422,3,12.000000715255737,4688450.729194641,3.3910430568805614,42.39569854736328,8.873169898986816,0.20929410772826307,53611030578.61328,-3.393646240234375,13.179788589477539,5.849513053894043,5.000000298023224,46,0.95,15262.451171875,1.0438040494918823,118.23702014165991,47.64471942256795,0.1557250719674138,0.12183465741813507,0.08201742172241211,0.09288442134857178,0.03705998510122299,-0.03578958287835121,0.043804023414850235,5,30.000001788139343,55823.616890812606,3.024361954550737,31.885087966918945,7.544539451599121,0.23661654813142263,88701599121.09375,1.5357500314712524,24.92314910888672,5.852043628692627,3.0000001788139343,32,0.95,11478.6318359375,1.0559873580932617,81.20823533010663,47.10535037964283,0.1350765139132671,0.15877464028080068,0.07249071449041367,0.06684204936027527,0.043437015265226364,-0.015368484891951084,0.055987391620874405,5,30.000001788139343,30593.902534453962,3.144099814591853
scan_point_70,70,76.54202270507812,62.24079132080078,0.8131584340358889,587531433105.4688,4.304102420806885,26.041574478149414,5.663381576538086,3.0000001788139343,23,0.95,27555.12890625,1.661226749420166,32.127867945258124,12.951683792836661,0.030280217227216782,0.6141342791399697,0.17672020196914673,0.3532402217388153,0.16187869012355804,-0.11303061991930008,0.6612266898155212,9,30.000001788139343,741140.2965859713,3.275517190294235,43.52826690673828,9.254998207092285,0.21262041576159305,53764125823.97461,-3.207115411758423,12.181163787841797,5.848854064941406,5.000000298023224,35,0.95,15670.17578125,1.0452073812484741,115.2450252226547,53.07506134103227,0.13081546519964982,0.11638640745831916,0.07449746876955032,0.09866256266832352,0.03958139941096306,-0.02985461987555027,0.045207440853118896,4,30.000001788139343,57989.82958292537,3.0060391313506316,33.829368591308594,7.278663635253906,0.21515812852398117,82769706726.07422,-0.33658304810523987,16.935039520263672,5.85472297668457,3.0000001788139343,33,0.95,12178.572265625,1.046293020248413,83.88090777319944,38.83243140840381,0.15773288094066848,0.18194411665213656,0.04260946065187454,0.08800948411226273,0.08483739197254181,-0.043171122670173645,0.046293020248413086,5,30.000001788139343,31624.4270722701,3.0911142389640225
scan_point_71,71,77.65162658691406,146.72238159179688,1.8894952757695702,2676828369140.625,15.628642082214355,271.01043701171875,5.467913627624512,1.0000000596046448,20,0.95,27954.5859375,4.570192813873291,45.49080194348845,39.27495885068207,-0.027301465797111894,0.5346807042092334,0.2636886537075043,0.4177160859107971,0.21865001320838928,0.07304278761148453,3.570192813873291,8,30.000001788139343,1244504.402642095,3.349171853181363,43.102325439453125,9.18885326385498,0.21318694919982412,55027976989.74609,-3.2368955612182617,12.162927627563477,5.848568916320801,5.000000298023224,40,0.95,15516.8369140625,1.045448660850525,106.02771566300095,51.48160885738645,-0.07353081843833127,0.12186127783860733,0.0728798657655716,0.10274188965559006,0.02077803947031498,-0.05100781470537186,0.045448679476976395,5,30.000001788139343,59242.20096960134,3.0146147802048393,31.58615493774414,5.35569429397583,0.16955828604437062,42296100616.45508,-4.044525146484375,22.490922927856445,5.861894130706787,3.0000001788139343,47,0.95,11371.015625,1.028749942779541,100.03288721527451,53.613244178325324,-1.2022445559263517e-05,0.1149801586746385,0.03174275904893875,0.02354736067354679,0.04065687954425812,-0.026486612856388092,0.028750011697411537,6,30.000001788139343,24424.51507145244,3.110884483622371
scan_point_72,72,67.50373840332031,78.97113800048828,1.1698779929587413,982610229492.1874,7.955626487731934,75.77702331542969,5.589471340179443,1.0000000596046448,24,0.95,24301.345703125,2.368614435195923,55.20706047016543,44.44567670184305,-0.11383679022657633,0.5889965513190085,0.1364593654870987,0.33874401450157166,0.15379753708839417,0.07141700387001038,1.3686144351959229,9,30.000001788139343,545290.1131596718,3.2305653373841863,40.83476638793945,9.058810234069824,0.2218406283510745,54553871154.78516,-2.760680913925171,10.038272857666016,5.846921443939209,5.000000298023224,32,0.95,14700.515625,1.0492132902145386,106.03105128874259,42.28343478303426,0.06629316691886329,0.16810245957800424,0.05655008181929588,0.09065566211938858,0.03950246796011925,-0.04172353073954582,0.049213264137506485,5,30.000001788139343,57383.37477707534,3.0271801161731005,31.171703338623047,7.264465808868408,0.23304680305575187,64470649719.23827,0.0284284520894289,10.267919540405273,5.8514404296875,11.000000655651093,40,0.95,11221.8134765625,1.0543107986450195,75.51963214021677,33.75465100928819,0.1594210564750447,0.1822083551968648,0.0905953198671341,0.08022914081811905,0.07238904386758804,-0.064496710896492,0.05431080982089043,6,30.000001788139343,29537.435402274452,3.1001880576091128
