gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 7.593637847900390625e+01 1.226298713684082031e+01
-1.774999998509883881e+02 7.723937225341796875e+01 1.518044090270996094e+01
-1.764999997913837433e+02 7.861997985839843750e+01 1.921883583068847656e+01
-1.754999997317790985e+02 7.824526977539062500e+01 2.045671463012695312e+01
-1.744999996721744253e+02 7.559152984619140625e+01 1.800905418395996094e+01
-1.734999996125698090e+02 7.159589385986328125e+01 9.930182456970214844e+00
-1.724999995529651642e+02 6.856771087646484375e+01 6.979578018188476562e+00
-1.714999994933605194e+02 6.820957183837890625e+01 4.891799449920654297e+00
-1.704999994337558746e+02 6.689025878906250000e+01 4.159869670867919922e+00
-1.694999993741512299e+02 6.732780456542968750e+01 4.971611499786376953e+00
-1.684999993145465851e+02 6.717507171630859375e+01 4.098381996154785156e+00
-1.674999992549419403e+02 6.717140197753906250e+01 4.885914802551269531e+00
-1.664999991953372955e+02 6.775904846191406250e+01 5.768053054809570312e+00
-1.654999991357326508e+02 6.804671478271484375e+01 6.255119800567626953e+00
-1.644999990761280060e+02 6.662064361572265625e+01 5.708714485168457031e+00
-1.634999990165233612e+02 6.644303131103515625e+01 4.923079967498779297e+00
-1.624999989569187164e+02 6.745858001708984375e+01 4.434659481048583984e+00
-1.614999988973140717e+02 6.705520629882812500e+01 4.240682601928710938e+00
-1.604999988377094269e+02 6.762841033935546875e+01 3.557312011718750000e+00
-1.594999987781047821e+02 6.819953155517578125e+01 3.709326744079589844e+00
-1.584999987185001373e+02 6.930243682861328125e+01 4.223272323608398438e+00
-1.574999986588954926e+02 7.082540893554687500e+01 7.216277599334716797e+00
-1.564999985992908478e+02 7.237964630126953125e+01 1.069825744628906250e+01
-1.554999985396862030e+02 7.590099334716796875e+01 1.540287780761718750e+01
-1.544999984800815582e+02 8.010084533691406250e+01 2.791418838500976562e+01
-1.534999984204769135e+02 7.772657775878906250e+01 2.278484725952148438e+01
-1.524999983608722687e+02 7.424869537353515625e+01 1.349410533905029297e+01
-1.514999983012676239e+02 7.121381378173828125e+01 9.488660812377929688e+00
-1.504999982416629791e+02 7.062806701660156250e+01 6.587780475616455078e+00
-1.494999981820583344e+02 6.969116973876953125e+01 5.756624221801757812e+00
-1.484999981224536896e+02 6.986682128906250000e+01 5.638893127441406250e+00
-1.474999980628490448e+02 6.847119140625000000e+01 5.690505504608154297e+00
-1.464999980032444000e+02 6.709186553955078125e+01 4.947364807128906250e+00
-1.454999979436397552e+02 6.782775878906250000e+01 5.149021625518798828e+00
-1.444999978840351105e+02 6.814192962646484375e+01 6.342247486114501953e+00
-1.434999978244304657e+02 6.762962341308593750e+01 6.255483150482177734e+00
-1.424999977648258209e+02 6.751280975341796875e+01 6.104205131530761719e+00
-1.414999977052211761e+02 6.786957550048828125e+01 4.930377483367919922e+00
-1.404999976456165314e+02 6.693065643310546875e+01 4.304397583007812500e+00
-1.394999975860118866e+02 6.681954956054687500e+01 4.048513889312744141e+00
-1.384999975264072418e+02 6.573976898193359375e+01 4.438258647918701172e+00
-1.374999974668025970e+02 6.500749206542968750e+01 2.059151649475097656e+00
-1.364999974071979523e+02 6.680875396728515625e+01 4.258066177368164062e+00
-1.354999973475933075e+02 6.581012725830078125e+01 3.437810659408569336e+00
-1.344999972879886627e+02 6.539560699462890625e+01 2.985880851745605469e+00
-1.334999972283840179e+02 6.827318572998046875e+01 1.078203582763671875e+01
-1.324999971687793732e+02 7.115589141845703125e+01 2.162631607055664062e+01
-1.314999971091747284e+02 6.475379943847656250e+01 2.839299201965332031e+00
-1.304999970495700836e+02 6.556388854980468750e+01 2.845352411270141602e+00
-1.294999969899654388e+02 6.819815826416015625e+01 8.687665939331054688e+00
-1.284999969303607941e+02 6.733149719238281250e+01 7.911567211151123047e+00
-1.274999968707561493e+02 6.548786163330078125e+01 3.748479366302490234e+00
-1.264999968111514903e+02 6.550616455078125000e+01 4.105546951293945312e+00
-1.254999967515468740e+02 6.724217224121093750e+01 3.435373783111572266e+00
-1.244999966919422150e+02 6.622229003906250000e+01 4.141529083251953125e+00
-1.234999966323375702e+02 6.780867767333984375e+01 2.884536266326904297e+00
-1.224999965727329112e+02 6.775017547607421875e+01 4.651284217834472656e+00
-1.214999965131282806e+02 7.132398223876953125e+01 8.823765754699707031e+00
-1.204999964535236359e+02 7.479146575927734375e+01 1.591103935241699219e+01
-1.194999963939190053e+02 8.111287689208984375e+01 2.676854324340820312e+01
-1.184999963343143605e+02 9.586746978759765625e+01 5.863075256347656250e+01
-1.174999962747097015e+02 1.427175750732421875e+02 1.682193756103515625e+02
-1.164999962151050568e+02 1.652761535644531250e+02 2.044210815429687500e+02
-1.154999961555003978e+02 1.262832031250000000e+02 1.036952209472656250e+02
-1.144999960958957672e+02 9.328199005126953125e+01 3.539678573608398438e+01
-1.134999960362911224e+02 8.260371398925781250e+01 1.863854217529296875e+01
-1.124999959766864777e+02 9.905118560791015625e+01 7.096881103515625000e+01
-1.114999959170818329e+02 1.229844436645507812e+02 1.309175262451171875e+02
-1.104999958574771881e+02 9.693331909179687500e+01 6.180442428588867188e+01
-1.094999957978725291e+02 1.003822708129882812e+02 4.488718414306640625e+01
-1.084999957382678986e+02 7.695280456542968750e+01 1.210978889465332031e+01
-1.074999956786632538e+02 7.587651824951171875e+01 1.000662803649902344e+01
-1.064999956190586090e+02 7.854283905029296875e+01 1.392367267608642578e+01
-1.054999955594539642e+02 8.323099517822265625e+01 1.963887214660644531e+01
-1.044999954998493195e+02 8.929889678955078125e+01 2.943642616271972656e+01
-1.034999954402446747e+02 9.626215362548828125e+01 4.006036758422851562e+01
-1.024999953806400299e+02 9.832595062255859375e+01 4.576194763183593750e+01
-1.014999953210353851e+02 9.576068115234375000e+01 4.348281097412109375e+01
-1.004999952614307404e+02 8.662303924560546875e+01 2.782510375976562500e+01
-9.949999520182609558e+01 7.713864898681640625e+01 1.310613918304443359e+01
-9.849999514222145081e+01 7.511933135986328125e+01 8.056975364685058594e+00
-9.749999508261680603e+01 7.441696929931640625e+01 8.425202369689941406e+00
-9.649999502301216125e+01 7.773254394531250000e+01 1.242579364776611328e+01
-9.549999496340751648e+01 8.074694061279296875e+01 1.605822372436523438e+01
-9.449999490380287170e+01 8.119954681396484375e+01 1.484320545196533203e+01
-9.349999484419822693e+01 7.954921722412109375e+01 1.176621150970458984e+01
-9.249999478459358215e+01 7.986637878417968750e+01 1.198949813842773438e+01
-9.149999472498893738e+01 7.856586456298828125e+01 1.175047492980957031e+01
-9.049999466538429260e+01 7.735691070556640625e+01 8.555441856384277344e+00
-8.949999460577964783e+01 6.916599273681640625e+01 8.187747955322265625e+00
-8.849999454617500305e+01 7.242763519287109375e+01 6.206126689910888672e+00
-8.749999448657035828e+01 7.216899871826171875e+01 7.144187450408935547e+00
-8.649999442696571350e+01 7.335790252685546875e+01 5.087378025054931641e+00
-8.549999436736106873e+01 6.864559173583984375e+01 6.693983078002929688e+00
-8.449999430775642395e+01 6.641250610351562500e+01 4.733644962310791016e+00
-8.349999424815177917e+01 6.707702636718750000e+01 6.065488815307617188e+00
-8.249999418854713440e+01 6.983721160888671875e+01 1.241970634460449219e+01
-8.149999412894248962e+01 1.071168518066406250e+02 9.389107513427734375e+01
-8.049999406933784485e+01 8.472006988525390625e+01 4.643556213378906250e+01
-7.949999400973320007e+01 8.797237396240234375e+01 5.568283462524414062e+01
-7.849999395012855530e+01 8.225473785400390625e+01 4.330657577514648438e+01
-7.749999389052391052e+01 7.196828460693359375e+01 1.911501884460449219e+01
-7.649999383091926575e+01 6.844641876220703125e+01 1.216685295104980469e+01
-7.549999377131462097e+01 6.825332641601562500e+01 8.571202278137207031e+00
-7.449999371170997620e+01 6.596779632568359375e+01 7.924602031707763672e+00
-7.349999365210533142e+01 6.754982757568359375e+01 9.550539970397949219e+00
-7.249999359250068665e+01 6.529241180419921875e+01 4.562525272369384766e+00
-7.149999353289604187e+01 6.381982421875000000e+01 2.844971179962158203e+00
-7.049999347329139709e+01 6.540465545654296875e+01 2.081856727600097656e+00
-6.949999341368675232e+01 6.422380828857421875e+01 2.336090564727783203e+00
-6.849999335408210754e+01 6.336958312988281250e+01 2.413989782333374023e+00
-6.749999329447746277e+01 6.534352874755859375e+01 3.217129945755004883e+00
-6.649999323487281799e+01 6.621248626708984375e+01 4.288297176361083984e+00
-6.549999317526817322e+01 6.692705535888671875e+01 4.957235813140869141e+00
-6.449999311566352844e+01 6.696748352050781250e+01 5.626768112182617188e+00
-6.349999305605889788e+01 6.822691345214843750e+01 9.384788513183593750e+00
-6.249999299645424600e+01 7.232233428955078125e+01 1.548906898498535156e+01
-6.149999293684959412e+01 7.895363616943359375e+01 2.435229301452636719e+01
-6.049999287724494224e+01 8.458966064453125000e+01 3.298386383056640625e+01
-5.949999281764031167e+01 8.637572479248046875e+01 3.520188522338867188e+01
-5.849999275803565979e+01 8.287371826171875000e+01 2.957157897949218750e+01
-5.749999269843100791e+01 8.046695709228515625e+01 2.559856033325195312e+01
-5.649999263882638445e+01 8.104154205322265625e+01 3.587549591064453125e+01
-5.549999257922173257e+01 7.208417510986328125e+01 1.620835494995117188e+01
-5.449999251961708069e+01 6.751337432861328125e+01 1.062282085418701172e+01
-5.349999246001242881e+01 6.673026275634765625e+01 9.221748352050781250e+00
-5.249999240040779824e+01 6.974493408203125000e+01 1.369129657745361328e+01
-5.149999234080314636e+01 7.881748199462890625e+01 2.971493721008300781e+01
-5.049999228119849448e+01 9.574173736572265625e+01 6.778674316406250000e+01
-4.949999222159387102e+01 1.102175521850585938e+02 1.050709152221679688e+02
-4.849999216198921914e+01 1.108038253784179688e+02 1.191138305664062500e+02
-4.749999210238456726e+01 9.275573730468750000e+01 6.278342056274414062e+01
-4.649999204277991538e+01 8.361031341552734375e+01 2.264872741699218750e+01
-4.549999198317528482e+01 6.591369628906250000e+01 8.648737907409667969e+00
-4.449999192357063293e+01 6.236390304565429688e+01 6.388165950775146484e+00
-4.349999186396598105e+01 6.249114990234375000e+01 7.076216697692871094e+00
-4.249999180436135759e+01 6.323517990112304688e+01 9.212878227233886719e+00
-4.149999174475670571e+01 6.350033569335937500e+01 9.236305236816406250e+00
-4.049999168515205383e+01 5.977398681640625000e+01 5.853119850158691406e+00
-3.949999162554740195e+01 5.953572463989257812e+01 6.182631492614746094e+00
-3.849999156594277139e+01 5.917407226562500000e+01 5.220900535583496094e+00
-3.749999150633811951e+01 6.049842453002929688e+01 5.707764625549316406e+00
-3.649999144673346763e+01 6.100085067749023438e+01 5.004980564117431641e+00
-3.549999138712884417e+01 5.878566360473632812e+01 4.831895828247070312e+00
-3.449999132752419229e+01 5.971798706054687500e+01 6.144467830657958984e+00
-3.349999126791954041e+01 6.246295166015625000e+01 1.094515419006347656e+01
-3.249999120831488852e+01 6.941347503662109375e+01 2.280577087402343750e+01
-3.149999114871025796e+01 7.636757659912109375e+01 3.442162704467773438e+01
-3.049999108910560608e+01 7.775482177734375000e+01 3.262462997436523438e+01
-2.949999102950095420e+01 7.259677124023437500e+01 2.136286354064941406e+01
-2.849999096989632719e+01 7.314716339111328125e+01 2.248969268798828125e+01
-2.749999091029167531e+01 6.560112762451171875e+01 1.142400932312011719e+01
-2.649999085068702342e+01 6.948411560058593750e+01 2.141807937622070312e+01
-2.549999079108239641e+01 8.438365173339843750e+01 5.561994171142578125e+01
-2.449999073147774453e+01 1.176083908081054688e+02 1.386736602783203125e+02
-2.349999067187309265e+01 1.508357696533203125e+02 2.124481201171875000e+02
-2.249999061226844077e+01 1.462052764892578125e+02 1.869931030273437500e+02
-2.149999055266381376e+01 1.458383331298828125e+02 1.967610931396484375e+02
-2.049999049305916188e+01 9.723442840576171875e+01 7.503248596191406250e+01
-1.949999043345451000e+01 7.028439331054687500e+01 1.505378532409667969e+01
-1.849999037384988299e+01 6.469128417968750000e+01 7.974327087402343750e+00
-1.749999031424523110e+01 6.234194564819335938e+01 6.577323436737060547e+00
-1.649999025464057922e+01 6.258415222167968750e+01 6.642366409301757812e+00
-1.549999019503592734e+01 6.402565765380859375e+01 1.007250308990478516e+01
-1.449999013543130033e+01 6.408438873291015625e+01 9.789276123046875000e+00
-1.349999007582664845e+01 6.143434524536132812e+01 6.607390880584716797e+00
-1.249999001622199657e+01 5.916790771484375000e+01 4.486151218414306641e+00
-1.149998995661736956e+01 5.971507263183593750e+01 3.323934793472290039e+00
-1.049998989701271768e+01 5.855462646484375000e+01 2.097700595855712891e+00
-9.499989837408065796e+00 5.972957992553710938e+01 3.344648838043212891e+00
-8.499989777803413915e+00 5.824328231811523438e+01 2.951036214828491211e+00
-7.499989718198786903e+00 5.837781906127929688e+01 2.998818874359130859e+00
-6.499989658594135022e+00 5.694462585449218750e+01 3.298473596572875977e+00
-5.499989598989483142e+00 5.805493164062500000e+01 2.989885330200195312e+00
-4.499989539384856130e+00 5.727980422973632812e+01 3.777099609375000000e+00
-3.499989479780204249e+00 5.877990722656250000e+01 4.672173976898193359e+00
-2.499989420175551924e+00 5.881614303588867188e+01 8.051757812500000000e+00
-1.499989360570899821e+00 6.299107360839843750e+01 1.696751403808593750e+01
-4.999893009662732535e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000107586383788494e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.500010818243030952e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500010877847657742e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500010937452309623e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500010997056961948e+00 1.383428573608398438e+01 2.403691864013671875e+01
5.500011056661613829e+00 5.930661010742187500e+01 3.506339788436889648e+00
6.500011116266240840e+00 6.030706405639648438e+01 5.204164505004882812e+00
7.500011175870892721e+00 6.383141708374023438e+01 1.098081398010253906e+01
8.500011235475545490e+00 7.345865631103515625e+01 2.854500579833984375e+01
