2theta Intensity
5.952139160268129503e-01 2.767062902450561523e+00
6.015387680369312928e-01 2.710979938507080078e+00
6.078636200470497464e-01 2.706861019134521484e+00
6.141884720571680889e-01 2.321251392364501953e+00
6.205133240672864314e-01 2.321251392364501953e+00
6.268381760774048850e-01 2.321251392364501953e+00
6.331630280875232275e-01 2.321251392364501953e+00
6.394878800976415700e-01 2.218521833419799805e+00
6.458127321077600236e-01 1.908697247505187988e+00
6.521375841178783661e-01 1.908697247505187988e+00
6.584624361279967086e-01 1.908697247505187988e+00
6.647872881381151622e-01 1.908697247505187988e+00
6.711121401482335047e-01 1.908697247505187988e+00
6.774369921583518472e-01 2.109051942825317383e+00
6.837618441684703008e-01 2.123208999633789062e+00
6.900866961785886433e-01 1.874846100807189941e+00
6.964115481887069858e-01 1.672443032264709473e+00
7.027364001988254394e-01 1.661545515060424805e+00
7.090612522089437819e-01 1.504121422767639160e+00
7.153861042190621244e-01 1.504121422767639160e+00
7.217109562291805780e-01 1.504121422767639160e+00
7.280358082392989205e-01 1.592050790786743164e+00
7.343606602494172630e-01 1.667319893836975098e+00
7.406855122595356056e-01 1.685727238655090332e+00
7.470103642696540591e-01 1.685727238655090332e+00
7.533352162797724016e-01 1.685727238655090332e+00
7.596600682898907442e-01 1.744494318962097168e+00
7.659849203000091977e-01 1.960273623466491699e+00
7.723097723101275403e-01 2.142841100692749023e+00
7.786346243202458828e-01 2.142841100692749023e+00
7.849594763303642253e-01 2.258418321609497070e+00
7.912843283404826789e-01 2.333322048187255859e+00
7.976091803506010214e-01 2.553031921386718750e+00
8.039340323607193639e-01 2.593623399734497070e+00
8.102588843708378175e-01 2.414686918258666992e+00
8.165837363809561600e-01 2.348967313766479492e+00
8.229085883910745025e-01 2.552609920501708984e+00
8.292334404011929561e-01 2.567715644836425781e+00
8.355582924113112986e-01 2.567715644836425781e+00
8.418831444214296411e-01 2.567715644836425781e+00
8.482079964315480947e-01 2.576461553573608398e+00
8.545328484416664372e-01 2.634116888046264648e+00
8.608577004517847797e-01 2.698744535446166992e+00
8.671825524619032333e-01 2.660490512847900391e+00
8.735074044720215758e-01 2.596611738204956055e+00
8.798322564821399183e-01 2.651472568511962891e+00
8.861571084922583719e-01 2.670200824737548828e+00
8.924819605023767144e-01 2.642305135726928711e+00
8.988068125124950569e-01 2.572383880615234375e+00
9.051316645226135105e-01 2.572383880615234375e+00
9.114565165327318530e-01 2.493719816207885742e+00
9.177813685428501955e-01 2.435049057006835938e+00
9.241062205529686491e-01 2.290990829467773438e+00
9.304310725630869916e-01 2.152862310409545898e+00
9.367559245732053341e-01 2.212083101272583008e+00
9.430807765833237877e-01 2.316740274429321289e+00
9.494056285934421302e-01 2.535502672195434570e+00
9.557304806035604727e-01 2.535502672195434570e+00
9.620553326136789263e-01 2.535502672195434570e+00
9.683801846237972688e-01 2.535502672195434570e+00
9.747050366339156113e-01 2.405285120010375977e+00
9.810298886440340649e-01 2.223399877548217773e+00
9.873547406541524074e-01 2.294952630996704102e+00
9.936795926642707499e-01 2.279522895812988281e+00
1.000004444674389203e+00 2.289466142654418945e+00
1.006329296684507657e+00 2.274013757705688477e+00
1.012654148694625889e+00 2.269064903259277344e+00
1.018979000704744342e+00 2.185559272766113281e+00
1.025303852714862796e+00 2.144983053207397461e+00
1.031628704724981027e+00 2.269816637039184570e+00
1.037953556735099481e+00 2.307497262954711914e+00
1.044278408745217712e+00 2.307497262954711914e+00
1.050603260755336166e+00 2.321167945861816406e+00
1.056928112765454619e+00 2.470057725906372070e+00
1.063252964775572851e+00 2.313169240951538086e+00
1.069577816785691304e+00 2.157608270645141602e+00
1.075902668795809758e+00 2.043976783752441406e+00
1.082227520805927989e+00 2.102516651153564453e+00
1.088552372816046443e+00 2.152204990386962891e+00
1.094877224826164896e+00 2.139158010482788086e+00
1.101202076836283350e+00 2.070233821868896484e+00
1.107526928846401582e+00 2.081251621246337891e+00
1.113851780856519813e+00 2.099514961242675781e+00
1.120176632866638489e+00 2.134843826293945312e+00
1.126501484876756720e+00 2.259065151214599609e+00
1.132826336886874952e+00 2.336091995239257812e+00
1.139151188896993627e+00 2.439584970474243164e+00
1.145476040907111859e+00 2.466145038604736328e+00
1.151800892917230090e+00 2.409950017929077148e+00
1.158125744927348766e+00 2.318845748901367188e+00
1.164450596937466997e+00 2.263621091842651367e+00
1.170775448947585229e+00 2.307142019271850586e+00
1.177100300957703682e+00 2.356885194778442383e+00
1.183425152967822136e+00 2.353128910064697266e+00
1.189750004977940367e+00 2.165164232254028320e+00
1.196074856988058821e+00 2.195863008499145508e+00
1.202399708998177275e+00 2.267815351486206055e+00
1.208724561008295506e+00 2.180858135223388672e+00
1.215049413018413960e+00 2.080031156539916992e+00
1.221374265028532413e+00 2.013606309890747070e+00
1.227699117038650645e+00 1.996959686279296875e+00
1.234023969048769098e+00 1.970412969589233398e+00
1.240348821058887552e+00 1.999658465385437012e+00
1.246673673069005783e+00 1.969487309455871582e+00
1.252998525079124237e+00 1.970954060554504395e+00
1.259323377089242690e+00 1.960041999816894531e+00
1.265648229099360922e+00 1.873712062835693359e+00
1.271973081109479375e+00 1.743764519691467285e+00
1.278297933119597829e+00 1.783486247062683105e+00
1.284622785129716060e+00 1.788145542144775391e+00
1.290947637139834514e+00 1.828229069709777832e+00
1.297272489149952968e+00 1.759241342544555664e+00
1.303597341160071199e+00 1.728487610816955566e+00
1.309922193170189653e+00 1.730100512504577637e+00
1.316247045180308106e+00 1.762785911560058594e+00
1.322571897190426338e+00 1.818030834197998047e+00
1.328896749200544791e+00 1.805429577827453613e+00
1.335221601210663245e+00 1.752020716667175293e+00
1.341546453220781476e+00 1.850610256195068359e+00
1.347871305230899930e+00 1.889257907867431641e+00
1.354196157241018383e+00 1.846475601196289062e+00
1.360521009251136615e+00 1.861840128898620605e+00
1.366845861261255068e+00 1.856525659561157227e+00
1.373170713271373522e+00 1.881142854690551758e+00
1.379495565281491753e+00 1.963821768760681152e+00
1.385820417291610207e+00 1.954811573028564453e+00
