gamma  mean  std
-1.794999999701976776e+02 5.040726852416992188e+01 3.247231483459472656e+00
-1.784999999105930328e+02 5.017274093627929688e+01 2.509384155273437500e+00
-1.774999998509883881e+02 4.857606887817382812e+01 2.513083934783935547e+00
-1.764999997913837433e+02 4.748289871215820312e+01 2.161504745483398438e+00
-1.754999997317790985e+02 4.833283615112304688e+01 1.229759693145751953e+00
-1.744999996721744253e+02 4.893140029907226562e+01 2.120795726776123047e+00
-1.734999996125698090e+02 4.840423583984375000e+01 2.637604713439941406e+00
-1.724999995529651642e+02 4.752688217163085938e+01 1.880531072616577148e+00
-1.714999994933605194e+02 4.867249679565429688e+01 2.570924520492553711e+00
-1.704999994337558746e+02 4.900985336303710938e+01 2.109114885330200195e+00
-1.694999993741512299e+02 5.003533554077148438e+01 1.713450431823730469e+00
-1.684999993145465851e+02 5.122661590576171875e+01 1.221224546432495117e+00
-1.674999992549419403e+02 4.963635253906250000e+01 1.032580614089965820e+00
-1.664999991953372955e+02 5.073380661010742188e+01 8.667661547660827637e-01
-1.654999991357326508e+02 4.999844741821289062e+01 2.393517971038818359e+00
-1.644999990761280060e+02 4.909902191162109375e+01 1.921259284019470215e+00
-1.634999990165233612e+02 4.722680282592773438e+01 2.290171146392822266e+00
-1.624999989569187164e+02 4.818809127807617188e+01 1.541137337684631348e+00
-1.614999988973140717e+02 4.885688400268554688e+01 1.337169885635375977e+00
-1.604999988377094269e+02 4.975936126708984375e+01 1.083043932914733887e+00
-1.594999987781047821e+02 4.968995285034179688e+01 2.604721307754516602e+00
-1.584999987185001373e+02 5.021653366088867188e+01 1.756672263145446777e+00
-1.574999986588954926e+02 4.992597198486328125e+01 2.046837568283081055e+00
-1.564999985992908478e+02 4.977703857421875000e+01 1.777966856956481934e+00
-1.554999985396862030e+02 4.901023101806640625e+01 1.932967066764831543e+00
-1.544999984800815582e+02 4.903385162353515625e+01 2.753041267395019531e+00
-1.534999984204769135e+02 5.038092041015625000e+01 2.467225313186645508e+00
-1.524999983608722687e+02 4.897734832763671875e+01 2.394487380981445312e+00
-1.514999983012676239e+02 4.849247360229492188e+01 2.017080068588256836e+00
-1.504999982416629791e+02 4.869704055786132812e+01 2.991679191589355469e+00
-1.494999981820583344e+02 4.880672073364257812e+01 1.688209652900695801e+00
-1.484999981224536896e+02 4.873548126220703125e+01 2.185384750366210938e+00
-1.474999980628490448e+02 4.838736724853515625e+01 2.350198268890380859e+00
-1.464999980032444000e+02 4.994853591918945312e+01 4.148528575897216797e+00
-1.454999979436397552e+02 4.768675994873046875e+01 2.299317598342895508e+00
-1.444999978840351105e+02 4.801637649536132812e+01 3.214669942855834961e+00
