row  column  w(Ti_K)  w(Cu_K)  Ti_K  Cu_K  s(Ti_K)  s(Cu_K)  chisq
0  0  0.0147111  0.963676  584.177  113747  28.7857  338.137  5.33835
1  0  0.0127648  0.963676  580.516  130269  29.538  361.47  5.29667
2  0  0.0136126  0.963676  651.126  137014  30.2543  371.919  5.59281
3  0  0.0113567  0.963676  557.824  140698  28.8709  375.954  5.47131
4  0  0.791278  0.963676  107.367  388.672  21.1614  30.5612  3.47512
5  0  1.04327  0.963676  352.757  968.551  24.353  35.7174  3.30609
6  0  0.0128324  0.963676  599.736  133873  29.8105  366.484  5.42959
7  0  0.0116287  0.963676  558.83  137655  28.4704  371.619  5.33637
8  0  0.0143139  0.963676  601.046  120280  29.6327  351.448  5.32424
9  0  0.00999308  0.963676  477.337  136826  27.2224  377.763  7.18751
10  0  0.0110352  0.963676  523.461  135877  27.4797  369.301  5.12362
11  0  0.0107662  0.963676  537.051  142888  28.6191  378.612  5.25717
12  0  0.011356  0.963676  548.28  138299  28.9196  372.55  5.40944
13  0  0.0118119  0.963676  558.123  135348  28.6229  368.726  5.33401
14  0  0.0115481  0.963676  572.415  141985  28.7449  381.696  5.34076
15  0  0.0116385  0.963676  551.236  135670  28.5686  370.538  5.79185
16  0  0.0107841  0.963676  558.288  148292  28.1064  386.745  5.27292
17  0  0.014859  0.963676  400.838  77271.7  26.5911  279.478  4.65142
18  0  0.00949977  0.963676  444.047  133893  27.3696  367.749  5.7795
19  0  0.0258004  0.963676  626.936  69604.7  30.3472  264.798  5.1733
20  0  0.00672222  0.963676  372.033  158530  25.5099  398.951  5.05999
21  0  0.0110121  0.963676  548.299  142624  28.2877  380.708  5.21061
22  0  0.0100465  0.963676  522.999  149117  27.7332  386.922  5.27384
23  0  0.00776552  0.963676  424.089  156433  25.854  396.396  4.63177
24  0  0.0191262  0.963676  510.636  76475.9  29.1169  277.455  5.26535
25  0  0.0155343  0.963676  665.06  122634  31.3158  352.462  6.24001
26  0  0.0167688  0.963676  591.474  101036  29.3428  318.711  5.46291
27  0  0.0108785  0.963676  497.992  131128  28.2841  363.892  5.31294
28  0  0.010831  0.963676  575.962  152324  28.6179  394.678  5.42348
29  0  0.0147369  0.963676  582.201  113164  29.0469  337.295  5.62506
30  0  0.0126747  0.963676  520.343  117597  28.1753  343.518  5.44492
31  0  0.0128228  0.963676  586.505  131018  29.2335  362.743  5.31591
32  0  0.0170652  0.963676  641.471  107673  30.2983  328.7  5.17952
33  0  0.0111929  0.963676  573.502  146769  28.6038  384.291  5.33591
34  0  0.0100439  0.963676  516.824  147395  28.1429  384.405  5.37543
35  0  0.0230458  0.963676  509.939  63382.5  27.8339  252.554  5.04515
36  0  0.0149943  0.963676  581.693  111124  29.4524  334.009  5.14607
37  0  0.0151734  0.963676  607.425  114670  30.4053  339.387  5.36862
38  0  0.690696  0.963676  308.753  1280.46  23.4968  39.8384  3.2379
39  0  0.00996732  0.963676  438.557  126035  26.7191  358.477  5.42336
40  0  0.00964838  0.963676  522.601  155152  28.3856  394.827  5.43201

