sample,scan_point,ring0_mean,ring0_std,ring0_cv,ring0_peak_valley,ring0_skewness,ring0_kurtosis,ring0_entropy,ring0_acf_length_deg,ring0_n_texture_peaks,ring0_completeness,ring0_integrated,ring0_texture_index,ring0_peak_fwhm_mean_deg,ring0_peak_fwhm_std_deg,ring0_peak_asymmetry_mean,ring0_fiber_symmetry_index,ring0_fourier_c2,ring0_fourier_c4,ring0_fourier_c6,ring0_arc_imbalance,ring0_warren_grain_proxy,ring0_cwt_n_peaks,ring0_cwt_dominant_scale_deg,ring0_cwt_total_power,ring0_cwt_scale_entropy,ring1_mean,ring1_std,ring1_cv,ring1_peak_valley,ring1_skewness,ring1_kurtosis,ring1_entropy,ring1_acf_length_deg,ring1_n_texture_peaks,ring1_completeness,ring1_integrated,ring1_texture_index,ring1_peak_fwhm_mean_deg,ring1_peak_fwhm_std_deg,ring1_peak_asymmetry_mean,ring1_fiber_symmetry_index,ring1_fourier_c2,ring1_fourier_c4,ring1_fourier_c6,ring1_arc_imbalance,ring1_warren_grain_proxy,ring1_cwt_n_peaks,ring1_cwt_dominant_scale_deg,ring1_cwt_total_power,ring1_cwt_scale_entropy,ring2_mean,ring2_std,ring2_cv,ring2_peak_valley,ring2_skewness,ring2_kurtosis,ring2_entropy,ring2_acf_length_deg,ring2_n_texture_peaks,ring2_completeness,ring2_integrated,ring2_texture_index,ring2_peak_fwhm_mean_deg,ring2_peak_fwhm_std_deg,ring2_peak_asymmetry_mean,ring2_fiber_symmetry_index,ring2_fourier_c2,ring2_fourier_c4,ring2_fourier_c6,ring2_arc_imbalance,ring2_warren_grain_proxy,ring2_cwt_n_peaks,ring2_cwt_dominant_scale_deg,ring2_cwt_total_power,ring2_cwt_scale_entropy
scan_point_0,0,18.89275360107422,4.51525354385376,0.23899393593938725,23515855789.18457,-2.944765329360962,9.778219223022461,5.8378214836120605,5.000000298023224,46,0.95,6801.39111328125,1.0571180582046509,78.35837738253024,38.54509296760413,0.05105154496813677,0.11182182624439499,0.020923512056469917,0.11523062735795975,0.05350091680884361,-0.022584203630685806,0.05711810663342476,4,30.000001788139343,13444.803284929862,3.0342095471230937,14.07679557800293,2.605339527130127,0.18508044055149558,16336589813.23242,-4.328207015991211,20.36316680908203,5.85562801361084,4.000000238418579,60,0.95,5067.646484375,1.0342549085617065,111.3182546357151,63.496914374086856,-0.017285371476399837,0.09167131465928546,0.036986470222473145,0.08400586247444153,0.029517512768507004,-0.040588125586509705,0.0342547670006752,4,30.000001788139343,5676.710992467315,3.023005114721303,10.901411056518555,2.0177040100097656,0.18508649931178123,31673374176.025387,-0.3008255362510681,45.91248321533203,5.860639572143555,2.0000001192092896,79,0.95,3924.5078125,1.0342568159103394,81.85772984317327,50.039255824664664,0.04443896405920404,0.09262081435971802,0.011383593082427979,0.04783762991428375,0.009545420296490192,-0.0408393032848835,0.03425701707601547,5,30.000001788139343,2842.121111819611,3.0274013547343923
scan_point_1,1,20.707679748535156,5.082498073577881,0.24544024899445396,25933338165.283203,-2.7091305255889893,8.514514923095703,5.836261749267578,5.000000298023224,37,0.95,7454.7646484375,1.0602409839630127,93.31516208399914,61.751662192093015,-0.09975724833831334,0.16268085355375947,0.013375291600823402,0.12206403911113739,0.05507920682430267,0.006604678928852081,0.06024092063307762,5,30.000001788139343,17100.632524762972,3.0348179317718573,14.987874031066895,2.9532456398010254,0.19704233126589749,18117534637.45117,-3.504826068878174,15.250349044799805,5.8534345626831055,4.000000238418579,57,0.95,5395.634765625,1.0388258695602417,108.10516333744039,48.09609213696222,0.023062649440279522,0.16434522638990845,0.026572227478027344,0.08077283948659897,0.036985788494348526,0.021387234330177307,0.03882567957043648,4,30.000001788139343,7359.150024202924,3.0323105736732727,11.19320011138916,2.104985475540161,0.18805930874034169,13667426109.313965,-3.175769567489624,13.830249786376953,5.858328819274902,3.0000001788139343,74,0.95,4029.552001953125,1.035366415977478,118.34887498796492,56.24460111267942,-0.11474887669075307,0.18927337874694639,0.07176913321018219,0.0532829686999321,0.022057294845581055,0.04711456596851349,0.035366304218769073,5,30.000001788139343,3856.099458486903,3.027578605571819
scan_point_2,2,3.0018086433410645,1.0894581079483032,0.36293389665762227,5785736083.984375,-0.2384030818939209,0.9455935955047607,5.803933143615723,12.000000715255737,68,0.95,1080.651123046875,1.1317211389541626,63.64193535083066,33.36930559616366,-0.027990001049680645,0.3856311742689864,0.07735758274793625,0.10499762743711472,0.02632141299545765,0.09534165263175964,0.13172100484371185,8,30.000001788139343,475.94061693490585,3.0384790268215474,6.506471157073975,7.605318546295166,1.1688853085941218,31344963073.730465,1.7748446464538574,1.770185947418213,5.374053955078125,20.000001192092896,48,0.95,2342.32958984375,2.366292953491211,41.25940012172631,20.561613432344632,-0.018814551346697697,0.7158517226112449,0.7596511840820312,0.22428153455257416,0.176483616232872,0.16600503027439117,1.366292953491211,4,30.000001788139343,22720.561968536585,3.080069202905288,1.8272318840026855,0.9716720581054688,0.5317727140230006,4040606021.881103,0.9393104314804077,-0.4850428104400635,5.752133369445801,46.00000274181366,65,0.95,657.803466796875,1.2827821969985962,100.75325976502153,42.72647397373264,0.20362468615169943,0.7226941827253632,0.37153229117393494,0.058103933930397034,0.06092090159654617,0.33057907223701477,0.2827822268009186,3,30.000001788139343,161.4445873174607,2.8306571259113826
scan_point_3,3,2.798708200454712,0.875053882598877,0.31266349327046855,4790895462.036133,-0.928805410861969,1.9957261085510254,5.81941032409668,6.000000357627869,75,0.95,1007.534912109375,1.0977585315704346,63.03714378607915,28.13886204895469,0.001846053120092206,0.24537398347846873,0.09655676782131195,0.13894058763980865,0.02615765668451786,-0.038823891431093216,0.0977584645152092,7,30.000001788139343,406.8676537248497,3.0026795984916945,5.73688268661499,7.14509391784668,1.2454662764008158,30816688537.597652,1.9135427474975586,2.190345287322998,5.335232734680176,20.000001192092896,39,0.95,2065.27783203125,2.5511863231658936,53.482163688106105,29.84712401253405,0.02849768619527407,0.5486180017276644,0.9020081758499146,0.27340853214263916,0.10409823805093765,0.11543035507202148,1.551186203956604,3,30.000001788139343,20503.67343761157,3.0765897284091523,1.2965365648269653,0.21574582159519196,0.1664016483977721,1585194230.0796509,-4.341745376586914,23.107149124145508,5.86266565322876,2.0000001192092896,103,0.95,466.753173828125,1.0276895761489868,121.61377977458578,50.200859049481885,-0.013097266008547076,0.14095763171415013,0.021955318748950958,0.060628701001405716,0.025038329884409904,0.0022147076670080423,0.027689509093761444,5,30.000001788139343,38.534191344761496,3.0383988414581173
scan_point_4,4,2.566182851791382,0.840421199798584,0.32749856434116104,4238196849.8229976,-0.7609505653381348,1.3208508491516113,5.814728736877441,7.000000417232513,86,0.95,923.8258056640625,1.1072553396224976,59.0812020655566,19.595979784088314,-0.03839539840886107,0.26281507755268557,0.1014629378914833,0.14680154621601105,0.030926784500479698,-0.03672511875629425,0.10725531727075577,7,30.000001788139343,387.6637939862435,2.994239645923262,5.916800498962402,7.8361687660217285,1.3243929328690254,35417045593.26172,2.0079169273376465,2.6911182403564453,5.278035640716553,20.000001192092896,45,0.95,2130.048095703125,2.754016876220703,52.878512333925244,31.710786812904427,0.013056392990753788,0.6103472626310569,0.9512180685997009,0.3050740957260132,0.10841359943151474,0.12867523729801178,1.7540165185928345,3,30.000001788139343,24040.664014660077,3.0804052804728426,1.1737666130065918,0.20061352849006653,0.17091432510266835,2035909891.1285398,-3.866704225540161,21.755929946899414,5.8618927001953125,2.0000001192092896,103,0.95,422.5559997558594,1.0292118787765503,114.90429104936386,57.990721942056155,0.02101634496642588,0.13129672268106343,0.018481599166989326,0.06160184368491173,0.019149934872984886,-0.005739324260503054,0.029211707413196564,5,30.000001788139343,32.47803616444926,3.03816046779228
scan_point_5,5,2.5276038646698,0.8117619752883911,0.3211587015809686,4137257575.988769,-0.8387479186058044,1.6287298202514648,5.816525459289551,6.000000357627869,77,0.95,909.9373779296875,1.1031428575515747,63.13793059736011,32.371511277396,-0.09035209882811528,0.25127056335157977,0.09306928515434265,0.1410985141992569,0.02163807861506939,-0.03796762228012085,0.10314290970563889,7,30.000001788139343,354.66039232203144,2.9963670590490956,5.7529778480529785,7.458558082580566,1.2964691120972802,34493473052.978516,1.964055061340332,2.471529483795166,5.2967681884765625,19.00000113248825,49,0.95,2071.072021484375,2.6808321475982666,59.710445084728114,34.58270865271598,0.05666518083306792,0.5682547010109388,0.937722384929657,0.2902275323867798,0.10640270262956619,0.08835653215646744,1.680832028388977,4,30.000001788139343,22146.391986144637,3.0822550845391166,1.1575779914855957,0.19388820230960846,0.16749472064580204,1490635514.2593384,-4.1552863121032715,21.975723266601562,5.86269474029541,2.0000001192092896,107,0.95,416.7280578613281,1.0280544757843018,119.66493832885456,52.78368866951419,-0.004718553404349156,0.13517501344773342,0.03118620626628399,0.06543665379285812,0.016402967274188995,0.004871828015893698,0.028054481372237206,5,30.000001788139343,30.84166019297988,3.0367960334489474
scan_point_6,6,2.7085349559783936,0.8305686116218567,0.3066486588214748,4268970966.339111,-1.0219653844833374,2.3044729232788086,5.8209357261657715,6.000000357627869,77,0.95,975.0725708007812,1.0940333604812622,63.948988746542334,27.0744257796497,-0.06804552039817671,0.23307092288893544,0.07822339236736298,0.13061264157295227,0.018475208431482315,-0.03897988051176071,0.09403339773416519,7,30.000001788139343,373.33031710422796,3.002790094270024,5.650717735290527,6.966604232788086,1.2328706828301526,29300954818.725586,1.9894003868103027,2.5838632583618164,5.351162910461426,19.00000113248825,43,0.95,2034.2584228515625,2.519970417022705,62.026298034180435,42.96296981275559,-0.021405001130426392,0.5256825283945602,0.8883121609687805,0.2808637022972107,0.08579683303833008,0.07653253525495529,1.519970178604126,4,30.000001788139343,19434.98946404847,3.087050662797613,1.2819623947143555,0.21127603948116302,0.16480673719624916,1591428637.5045776,-4.455384731292725,24.139799118041992,5.862960338592529,2.0000001192092896,110,0.95,461.5064697265625,1.0271613597869873,106.34352111075803,49.45456974673517,0.044139842981947584,0.13423657257024973,0.04322808235883713,0.05210906267166138,0.012946303002536297,0.0010106037370860577,0.027161259204149246,5,30.000001788139343,34.77178714566404,3.0374669145755595
scan_point_7,7,2.677297353744507,0.8039019703865051,0.30026622528952795,4075388908.38623,-1.1642526388168335,2.5679402351379395,5.822742462158203,6.000000357627869,79,0.95,963.8270263671875,1.0901597738265991,69.06962551695882,30.727010360219246,-0.1000358341148245,0.20783739386594363,0.08796149492263794,0.12894023954868317,0.0205517765134573,-0.04637876898050308,0.09015980362892151,7,30.000001788139343,367.3959064128666,2.9822171198230563,5.659170150756836,7.143312931060791,1.2622544897515533,31168416976.928707,2.0139684677124023,2.635378360748291,5.332795143127441,18.000001072883606,49,0.95,2037.30126953125,2.5932865142822266,55.23439684398109,41.515360250507996,0.04596743504954339,0.5364796140510846,0.9011492729187012,0.31499871611595154,0.06634867936372757,0.06680691987276077,1.5932862758636475,3,30.000001788139343,20305.714720923454,3.096007827943107,1.268561840057373,0.20540851354599,0.16192234943524708,1586558341.9799805,-4.625088691711426,25.445512771606445,5.863611221313477,2.0000001192092896,105,0.95,456.6822509765625,1.0262188911437988,120.29857997558798,54.03389485644286,0.05985573149862608,0.12346989912229257,0.03389327973127365,0.056817613542079926,0.012805287726223469,-0.014493606053292751,0.026218846440315247,5,30.000001788139343,35.07027433901871,3.0371685742435446
scan_point_8,8,2.682011604309082,0.7999715805053711,0.29827297511319056,4024515151.9775386,-1.1727309226989746,2.6884255409240723,5.823465824127197,6.000000357627869,80,0.95,965.524169921875,1.0889668464660645,71.13759868799718,32.535491812142496,-0.11189189200215928,0.2102830211675705,0.08189307153224945,0.1316225826740265,0.018260644748806953,-0.044627025723457336,0.08896677196025848,7,30.000001788139343,364.65989785493656,2.9861565081135035,5.506723880767822,6.965237140655518,1.2648604308964062,30041973114.01367,2.124616861343384,3.2259464263916016,5.339547157287598,18.000001072883606,37,0.95,1982.420654296875,2.599871873855591,54.63358307172217,36.75076098313038,0.11776507992657209,0.47516514980035696,0.9072846174240112,0.3428230285644531,0.02682790532708168,0.052730146795511246,1.5998719930648804,4,30.000001788139343,19142.900894652335,3.103592116087251,1.2649532556533813,0.2080758661031723,0.16449292902582055,1579062819.480896,-4.4995012283325195,24.373701095581055,5.862994194030762,2.0000001192092896,111,0.95,455.3831787109375,1.0270580053329468,115.86760470457226,57.00068964363141,0.06723278103217989,0.12216409973740314,0.02974030375480652,0.0472680926322937,0.012187203392386436,-0.013885843567550182,0.02705792337656021,4,30.000001788139343,35.70559086288329,3.0378691663939894
scan_point_9,9,2.5917811393737793,0.8069335222244263,0.3113432341819556,4268114089.96582,-0.9572981595993042,2.0342025756835938,5.819750785827637,6.000000357627869,77,0.95,933.0411987304688,1.0969346761703491,69.86176803742535,33.84510969517479,-0.029396587825463245,0.1969136604740121,0.09257306903600693,0.13348081707954407,0.017188023775815964,-0.03981301933526993,0.09693460911512375,7,30.000001788139343,372.7310556378832,2.9789316228319125,5.209742546081543,6.522322177886963,1.2519471202646404,31389221191.406246,2.261631965637207,4.051793098449707,5.359193801879883,16.000000953674316,49,0.95,1875.50732421875,2.5673716068267822,59.10932220929838,37.41120979093132,-0.04359447532459639,0.45534205431727914,0.8910220265388489,0.35235702991485596,0.06741134077310562,0.02123972773551941,1.5673717260360718,4,30.000001788139343,16413.90026364762,3.119930027728517,1.216354489326477,0.202656090259552,0.1666093988535918,1504900217.0562744,-4.352172374725342,23.184614181518555,5.862581253051758,2.0000001192092896,108,0.95,437.88763427734375,1.0277588367462158,112.25455860506617,55.76634420891116,0.14196090529172664,0.12760389680770226,0.02967323362827301,0.055680520832538605,0.01654287986457348,-0.0143941231071949,0.02775869145989418,5,30.000001788139343,33.28562515091458,3.040344474401091
