gamma  mean  std
-1.794999999701976776e+02 6.529520511627197266e+00 8.637101173400878906e+00
-1.784999999105930328e+02 5.820220947265625000e+00 8.129272460937500000e+00
-1.774999998509883881e+02 6.091936588287353516e+00 8.904007911682128906e+00
-1.764999997913837433e+02 7.283947467803955078e+00 1.122929668426513672e+01
-1.754999997317790985e+02 7.434064388275146484e+00 1.117641544342041016e+01
-1.744999996721744253e+02 8.860747337341308594e+00 1.466256713867187500e+01
-1.734999996125698090e+02 7.173345088958740234e+00 1.083902263641357422e+01
-1.724999995529651642e+02 8.571799278259277344e+00 1.358163547515869141e+01
-1.714999994933605194e+02 9.414089202880859375e+00 1.505746650695800781e+01
-1.704999994337558746e+02 9.686394691467285156e+00 1.576810932159423828e+01
-1.694999993741512299e+02 1.013045406341552734e+01 1.710849571228027344e+01
-1.684999993145465851e+02 1.040785408020019531e+01 1.691612243652343750e+01
-1.674999992549419403e+02 1.243969917297363281e+01 2.101894569396972656e+01
-1.664999991953372955e+02 1.281010532379150391e+01 2.167368316650390625e+01
-1.654999991357326508e+02 1.366738033294677734e+01 2.367809104919433594e+01
-1.644999990761280060e+02 1.401272010803222656e+01 2.425811004638671875e+01
-1.634999990165233612e+02 1.394055271148681641e+01 2.423094749450683594e+01
-1.624999989569187164e+02 1.462458610534667969e+01 2.534228897094726562e+01
-1.614999988973140717e+02 1.549244880676269531e+01 2.701036834716796875e+01
-1.604999988377094269e+02 1.604403877258300781e+01 2.835635757446289062e+01
-1.594999987781047821e+02 1.709002876281738281e+01 2.966569137573242188e+01
-1.584999987185001373e+02 1.686205673217773438e+01 2.949296379089355469e+01
-1.574999986588954926e+02 1.629954338073730469e+01 2.839335632324218750e+01
-1.564999985992908478e+02 1.676920890808105469e+01 2.898897933959960938e+01
-1.554999985396862030e+02 1.727254486083984375e+01 3.064292716979980469e+01
-1.544999984800815582e+02 1.587513542175292969e+01 2.752515411376953125e+01
-1.534999984204769135e+02 1.594868659973144531e+01 2.758902549743652344e+01
-1.524999983608722687e+02 1.495978260040283203e+01 2.543548965454101562e+01
-1.514999983012676239e+02 1.550764083862304688e+01 2.705295181274414062e+01
-1.504999982416629791e+02 1.574262428283691406e+01 2.768389129638671875e+01
-1.494999981820583344e+02 1.440174198150634766e+01 2.450372123718261719e+01
-1.484999981224536896e+02 1.415462779998779297e+01 2.454360580444335938e+01
-1.474999980628490448e+02 1.367492198944091797e+01 2.320740509033203125e+01
-1.464999980032444000e+02 1.265062046051025391e+01 2.106840896606445312e+01
-1.454999979436397552e+02 1.094042778015136719e+01 1.759711456298828125e+01
-1.444999978840351105e+02 1.151669406890869141e+01 1.947020149230957031e+01
-1.434999978244304657e+02 1.052948665618896484e+01 1.732635307312011719e+01
-1.424999977648258209e+02 9.232169151306152344e+00 1.460582351684570312e+01
-1.414999977052211761e+02 9.015060424804687500e+00 1.443710327148437500e+01
-1.404999976456165314e+02 8.109401702880859375e+00 1.251798152923583984e+01
-1.394999975860118866e+02 6.757278919219970703e+00 9.705110549926757812e+00
-1.384999975264072418e+02 6.346611022949218750e+00 9.233636856079101562e+00
-1.374999974668025970e+02 5.500298023223876953e+00 7.106182098388671875e+00
-1.364999974071979523e+02 4.808797836303710938e+00 5.957509994506835938e+00
-1.354999973475933075e+02 4.245948791503906250e+00 4.897186279296875000e+00
-1.344999972879886627e+02 3.976511478424072266e+00 4.448093414306640625e+00
-1.334999972283840179e+02 4.197772026062011719e+00 4.965399742126464844e+00
-1.324999971687793732e+02 3.830336332321166992e+00 3.907231092453002930e+00
-1.314999971091747284e+02 3.365876913070678711e+00 3.062341451644897461e+00
-1.304999970495700836e+02 2.789577007293701172e+00 2.092833280563354492e+00
-1.294999969899654388e+02 2.474462747573852539e+00 1.525097727775573730e+00
-1.284999969303607941e+02 2.482547998428344727e+00 1.534702897071838379e+00
-1.274999968707561493e+02 2.232992649078369141e+00 1.182803630828857422e+00
-1.264999968111514903e+02 2.175455331802368164e+00 1.234517455101013184e+00
-1.254999967515468740e+02 2.087246894836425781e+00 1.049364089965820312e+00
-1.244999966919422150e+02 2.050636529922485352e+00 8.569082617759704590e-01
-1.234999966323375702e+02 2.159297943115234375e+00 9.158170223236083984e-01
-1.224999965727329112e+02 2.125944614410400391e+00 8.982943296432495117e-01
-1.214999965131282806e+02 2.086527585983276367e+00 8.093493580818176270e-01
-1.204999964535236359e+02 2.072426080703735352e+00 7.690646648406982422e-01
-1.194999963939190053e+02 2.367325305938720703e+00 1.253896355628967285e+00
-1.184999963343143605e+02 2.262621879577636719e+00 8.651769757270812988e-01
-1.174999962747097015e+02 2.185105800628662109e+00 9.125187993049621582e-01
-1.164999962151050568e+02 2.176248073577880859e+00 1.173596143722534180e+00
-1.154999961555003978e+02 2.134362697601318359e+00 9.936209917068481445e-01
-1.144999960958957672e+02 1.980039834976196289e+00 9.285218715667724609e-01
-1.134999960362911224e+02 2.013436794281005859e+00 9.961505532264709473e-01
-1.124999959766864777e+02 2.253690958023071289e+00 1.140664815902709961e+00
-1.114999959170818329e+02 2.434272289276123047e+00 1.585259199142456055e+00
-1.104999958574771881e+02 2.296151876449584961e+00 1.484781980514526367e+00
-1.094999957978725291e+02 2.342012643814086914e+00 1.307470202445983887e+00
-1.084999957382678986e+02 2.510570049285888672e+00 1.414204359054565430e+00
-1.074999956786632538e+02 2.131110668182373047e+00 1.349296689033508301e+00
-1.064999956190586090e+02 2.500618219375610352e+00 1.610218644142150879e+00
-1.054999955594539642e+02 2.229622125625610352e+00 1.465468049049377441e+00
-1.044999954998493195e+02 2.479956150054931641e+00 1.319435000419616699e+00
-1.034999954402446747e+02 2.285133123397827148e+00 1.341213464736938477e+00
-1.024999953806400299e+02 2.249296426773071289e+00 1.121410965919494629e+00
-1.014999953210353851e+02 2.189677238464355469e+00 1.058321833610534668e+00
-1.004999952614307404e+02 2.306650876998901367e+00 1.320902228355407715e+00
-9.949999520182609558e+01 2.631868600845336914e+00 1.594178438186645508e+00
-9.849999514222145081e+01 2.261125564575195312e+00 1.301172018051147461e+00
-9.749999508261680603e+01 2.306995153427124023e+00 1.200065732002258301e+00
-9.649999502301216125e+01 2.549452781677246094e+00 1.651070833206176758e+00
-9.549999496340751648e+01 2.155399084091186523e+00 1.310868024826049805e+00
-9.449999490380287170e+01 2.339173316955566406e+00 1.252828598022460938e+00
-9.349999484419822693e+01 2.165073871612548828e+00 1.110055565834045410e+00
-9.249999478459358215e+01 2.277494907379150391e+00 1.259757995605468750e+00
-9.149999472498893738e+01 2.245154380798339844e+00 1.011295437812805176e+00
-9.049999466538429260e+01 2.170462608337402344e+00 1.156356334686279297e+00
-8.949999460577964783e+01 2.257957696914672852e+00 1.244050502777099609e+00
-8.849999454617500305e+01 2.395147800445556641e+00 1.094335436820983887e+00
-8.749999448657035828e+01 2.318401813507080078e+00 1.162750601768493652e+00
-8.649999442696571350e+01 2.263356447219848633e+00 1.141940236091613770e+00
-8.549999436736106873e+01 2.319656372070312500e+00 1.205553293228149414e+00
-8.449999430775642395e+01 2.407373905181884766e+00 1.467213869094848633e+00
-8.349999424815177917e+01 2.534441947937011719e+00 1.669400572776794434e+00
-8.249999418854713440e+01 2.435036420822143555e+00 1.625480413436889648e+00
-8.149999412894248962e+01 2.706112146377563477e+00 2.059819459915161133e+00
-8.049999406933784485e+01 2.360017299652099609e+00 1.487883925437927246e+00
-7.949999400973320007e+01 2.333124637603759766e+00 1.394178032875061035e+00
-7.849999395012855530e+01 2.601463794708251953e+00 1.544362545013427734e+00
-7.749999389052391052e+01 2.762222051620483398e+00 1.952348589897155762e+00
-7.649999383091926575e+01 2.491829395294189453e+00 1.584155321121215820e+00
-7.549999377131462097e+01 2.843166112899780273e+00 1.991363763809204102e+00
-7.449999371170997620e+01 2.553278446197509766e+00 1.553425073623657227e+00
-7.349999365210533142e+01 2.721654653549194336e+00 1.699636936187744141e+00
-7.249999359250068665e+01 2.463305234909057617e+00 1.249613165855407715e+00
-7.149999353289604187e+01 2.455683231353759766e+00 1.379961371421813965e+00
-7.049999347329139709e+01 2.294568061828613281e+00 1.265945911407470703e+00
-6.949999341368675232e+01 2.238308191299438477e+00 1.398172140121459961e+00
-6.849999335408210754e+01 2.487812042236328125e+00 1.541398525238037109e+00
-6.749999329447746277e+01 2.415663242340087891e+00 1.118704557418823242e+00
-6.649999323487281799e+01 2.270294904708862305e+00 1.373187422752380371e+00
-6.549999317526817322e+01 2.420634269714355469e+00 1.435878038406372070e+00
-6.449999311566352844e+01 2.307803630828857422e+00 1.477568268775939941e+00
-6.349999305605889788e+01 2.345848560333251953e+00 1.278367877006530762e+00
-6.249999299645424600e+01 2.186159849166870117e+00 9.986682534217834473e-01
-6.149999293684959412e+01 2.094372272491455078e+00 1.123593926429748535e+00
-6.049999287724494224e+01 1.980701208114624023e+00 7.475768327713012695e-01
-5.949999281764031167e+01 2.191946506500244141e+00 1.087027668952941895e+00
-5.849999275803565979e+01 2.153558731079101562e+00 1.158376932144165039e+00
-5.749999269843100791e+01 1.953550457954406738e+00 7.316914796829223633e-01
-5.649999263882638445e+01 2.109695911407470703e+00 1.011188030242919922e+00
-5.549999257922173257e+01 1.898648023605346680e+00 6.322095990180969238e-01
-5.449999251961708069e+01 2.165478467941284180e+00 1.030866265296936035e+00
-5.349999246001242881e+01 2.214433908462524414e+00 1.017124056816101074e+00
-5.249999240040779824e+01 2.067501783370971680e+00 1.143391013145446777e+00
-5.149999234080314636e+01 2.429809570312500000e+00 1.552719473838806152e+00
-5.049999228119849448e+01 2.455149650573730469e+00 1.436203241348266602e+00
-4.949999222159387102e+01 2.675094842910766602e+00 1.727826356887817383e+00
-4.849999216198921914e+01 2.633634090423583984e+00 1.715594053268432617e+00
-4.749999210238456726e+01 2.757960319519042969e+00 2.024052858352661133e+00
-4.649999204277991538e+01 2.910103082656860352e+00 2.143609285354614258e+00
-4.549999198317528482e+01 3.312320470809936523e+00 3.100700855255126953e+00
-4.449999192357063293e+01 3.450206518173217773e+00 3.295571804046630859e+00
-4.349999186396598105e+01 4.370165824890136719e+00 5.434355735778808594e+00
-4.249999180436135759e+01 3.939379215240478516e+00 4.541186332702636719e+00
-4.149999174475670571e+01 3.784778594970703125e+00 4.052244663238525391e+00
-4.049999168515205383e+01 4.585658550262451172e+00 5.532258033752441406e+00
-3.949999162554740195e+01 4.791483402252197266e+00 6.132380008697509766e+00
-3.849999156594277139e+01 5.278915405273437500e+00 6.924506664276123047e+00
-3.749999150633811951e+01 5.005790233612060547e+00 6.456300258636474609e+00
-3.649999144673346763e+01 6.600637435913085938e+00 9.332005500793457031e+00
-3.549999138712884417e+01 6.861483097076416016e+00 1.009727478027343750e+01
-3.449999132752419229e+01 7.369605541229248047e+00 1.078367424011230469e+01
-3.349999126791954041e+01 7.678766250610351562e+00 1.154817295074462891e+01
-3.249999120831488852e+01 7.686964035034179688e+00 1.182424545288085938e+01
-3.149999114871025796e+01 9.034489631652832031e+00 1.431587791442871094e+01
-3.049999108910560608e+01 9.136109352111816406e+00 1.529394817352294922e+01
-2.949999102950095420e+01 9.562382698059082031e+00 1.512146091461181641e+01
-2.849999096989632719e+01 1.017508029937744141e+01 1.684377670288085938e+01
-2.749999091029167531e+01 1.147006797790527344e+01 1.922045135498046875e+01
-2.649999085068702342e+01 1.143195915222167969e+01 1.939817810058593750e+01
-2.549999079108239641e+01 1.125727653503417969e+01 1.875437355041503906e+01
