gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 1.154107952117919922e+01 1.921195983886718750e+01
-1.774999998509883881e+02 7.204223155975341797e+00 8.969945907592773438e+00
-1.764999997913837433e+02 5.649169445037841797e+00 5.336982727050781250e+00
-1.754999997317790985e+02 6.197756290435791016e+00 6.519150257110595703e+00
-1.744999996721744253e+02 7.061142444610595703e+00 8.992156982421875000e+00
-1.734999996125698090e+02 8.316611289978027344e+00 1.065497589111328125e+01
-1.724999995529651642e+02 7.727826595306396484e+00 9.282767295837402344e+00
-1.714999994933605194e+02 7.520355701446533203e+00 9.298186302185058594e+00
-1.704999994337558746e+02 6.593686580657958984e+00 7.545220375061035156e+00
-1.694999993741512299e+02 1.006708240509033203e+01 1.503947639465332031e+01
-1.684999993145465851e+02 8.076590538024902344e+00 1.067293834686279297e+01
-1.674999992549419403e+02 6.744094848632812500e+00 7.331389904022216797e+00
-1.664999991953372955e+02 8.730144500732421875e+00 1.217165470123291016e+01
-1.654999991357326508e+02 9.288924217224121094e+00 1.256458854675292969e+01
-1.644999990761280060e+02 6.854273319244384766e+00 7.055092334747314453e+00
-1.634999990165233612e+02 8.694753646850585938e+00 1.219868373870849609e+01
-1.624999989569187164e+02 1.253408908843994141e+01 2.044004821777343750e+01
-1.614999988973140717e+02 7.549459457397460938e+00 8.841112136840820312e+00
-1.604999988377094269e+02 1.019242095947265625e+01 1.532991886138916016e+01
-1.594999987781047821e+02 7.951658248901367188e+00 1.084513950347900391e+01
-1.584999987185001373e+02 8.355072975158691406e+00 1.079246234893798828e+01
-1.574999986588954926e+02 1.033020401000976562e+01 1.442146682739257812e+01
-1.564999985992908478e+02 7.087577819824218750e+00 8.297355651855468750e+00
-1.554999985396862030e+02 9.193785667419433594e+00 1.260857772827148438e+01
-1.544999984800815582e+02 1.086418628692626953e+01 1.601840209960937500e+01
-1.534999984204769135e+02 1.098001003265380859e+01 1.600123596191406250e+01
-1.524999983608722687e+02 1.171652698516845703e+01 1.816758537292480469e+01
-1.514999983012676239e+02 9.611048698425292969e+00 1.153891468048095703e+01
-1.504999982416629791e+02 1.010595607757568359e+01 1.414195632934570312e+01
-1.494999981820583344e+02 1.304957199096679688e+01 2.057094001770019531e+01
-1.484999981224536896e+02 1.232292556762695312e+01 1.946264457702636719e+01
-1.474999980628490448e+02 1.425364685058593750e+01 2.347435188293457031e+01
-1.464999980032444000e+02 1.383563995361328125e+01 2.347442054748535156e+01
-1.454999979436397552e+02 1.364726734161376953e+01 2.162000656127929688e+01
-1.444999978840351105e+02 1.434807491302490234e+01 2.256875038146972656e+01
-1.434999978244304657e+02 1.238008213043212891e+01 1.804864501953125000e+01
-1.424999977648258209e+02 1.696168327331542969e+01 2.768194389343261719e+01
-1.414999977052211761e+02 1.729342460632324219e+01 3.063861846923828125e+01
-1.404999976456165314e+02 1.729329490661621094e+01 2.991459655761718750e+01
-1.394999975860118866e+02 2.266053771972656250e+01 4.330847549438476562e+01
-1.384999975264072418e+02 2.034968757629394531e+01 3.265531921386718750e+01
-1.374999974668025970e+02 2.079465293884277344e+01 3.613877868652343750e+01
-1.364999974071979523e+02 2.271789741516113281e+01 3.913396835327148438e+01
-1.354999973475933075e+02 2.575778198242187500e+01 4.847764205932617188e+01
-1.344999972879886627e+02 2.560183525085449219e+01 4.749054336547851562e+01
-1.334999972283840179e+02 2.382573890686035156e+01 4.191824340820312500e+01
