row  column  w(Ti_K)  w(V_K)  Ti_K  V_K  s(Ti_K)  s(V_K)  chisq
0  0  1  0.0657309  4944.52  521.234  156.047  44.7638  2.25909
1  0  1  0.0523582  20160.1  1692.85  380.851  81.0744  2.14099
2  0  1  0.0529248  18836  1598.78  1455.66  142.502  1.88074
3  0  1  0.049749  35091.7  2799.81  2728.15  238.767  2.0136
4  0  1  0.0420428  43716.8  2947.68  620.405  112.774  2.06055
5  0  1  45.5726  0.742906  54.2971  23.5079  32.3012  16.6192
6  0  1  0.0518834  25265.1  2102.27  1561.43  151.068  2.06149
7  0  1  0.0604403  17848.1  1730.04  175.507  74.1147  1.86817
8  0  1  0.307131  37142.3  18294.9  1250.19  618.813  1.68856
9  0  1  0.421559  15982.4  10805.4  818.658  557.991  1.83929
10  0  1  0.418582  13884.3  9320.58  1387.25  936.284  1.8796
11  0  1  0.399212  15845.5  10145  587.931  376.088  1.78983
12  0  1  0.415274  15808.3  10528.3  167.766  129.403  1.80279
13  0  1  0.418206  14209.6  9530.38  134.322  112.701  1.77995
14  0  1  0.431544  15405.3  10661.9  1732.29  1227.14  1.80398
15  0  1  0.417867  19086.2  12790.7  1151.75  775.753  1.89591
16  0  1  5.7925  29.3408  272.569  50.7951  518.769  2.29336
17  0  1  0.310499  35853.6  17853.9  1877.03  941.663  1.70048
18  0  1  0.27334  51073.1  22389.1  357.269  208.075  1.741
19  0  1  1.97385  88.7948  281.087  122.74  560.043  145.182
20  0  1  0.696429  327.313  365.577  67.4638  51.1864  2.10408
21  0  1  0.2958  38219.1  18130.8  389.35  218.011  1.48317
22  0  1  0.34354  23925.9  13182.1  175.548  134.488  1.75065
23  0  1  0.407988  14269.4  9336.69  846.814  553.054  1.80139
24  0  1  0.29351  44345.4  20874.2  251.435  174.473  1.90955
25  0  1  0.245903  805.05  317.487  502.783  214.754  2.22273
26  0  1  0.336355  28833.9  15554  2407.76  1353.69  1.69535
27  0  1  0.288033  43747.8  20208.7  673.719  327.118  1.8234
28  0  1  1.1745  4.30626  8.11132  72.8314  171.78  2.41564
29  0  1  0.418318  14272.6  9575.24  208.651  152.555  1.73728
30  0  1  0.458363  10182.2  7484.98  962.454  719.493  1.73372
31  0  1  1.45698  8.21918  19.2053  17.1317  22.6419  2.35591
32  0  1  0.341618  27397  15010.1  1388.04  774.533  1.63688
33  0  1  0.386599  18789.2  11649.6  748.667  463.424  1.80764
34  0  1  0.389083  17953.8  11203.1  387.731  251.615  1.75123
35  0  1  0.395628  16440.3  10431.3  1056.79  678.779  1.76087
36  0  1  0.37635  19652.3  11861.6  366.374  232.891  1.8244
37  0  1  0.425682  12275.6  8380.49  384.67  269.589  1.70669
38  0  1  0.30161  35531.1  17186.8  264.123  168.949  1.69226
39  0  1  0.019978  850.913  27.2631  94.814  33.7521  2.45513
40  0  1  6.17121  8.22114  81.3657  32.859  578.497  2.21886

