Scan Point,Ti Mass Fraction,V Mass Fraction,V Atomic Percent
0,1.0,45.57,97.71789893367213
1,1.0,0.04204,3.800121217965745
2,1.0,0.05188,4.648243627198811
3,1.0,0.06044,5.373970653457253
4,1.0,0.05292,4.7370095893436845
5,1.0,0.04975,4.465926775192007
6,1.0,0.05236,4.68923307962204
7,1.0,0.06573,5.816966019591278
8,1.0,0.01998,1.8427985825021083
9,1.0,6.171,85.29087595969405
10,1.0,1.974,64.9718151075677
11,1.0,5.792,84.47778341845292
12,1.0,0.4315,28.848587043097517
13,1.0,0.4179,28.1957074973338
14,1.0,0.4216,28.374512612896535
15,1.0,0.4186,28.22960393107798
16,1.0,0.4182,28.210238460131233
17,1.0,0.4153,28.06952564523681
18,1.0,0.3891,26.772803763158574
19,1.0,0.3956,27.098850872847223
20,1.0,0.408,27.712863494664013
21,1.0,0.6964,39.55378739223334
22,1.0,0.2459,18.768979361597815
23,1.0,0.3364,24.017583389009324
24,1.0,0.3416,24.29863132186971
25,1.0,0.4257,28.571610750938103
26,1.0,0.4584,30.105596172235476
27,1.0,0.4183,28.21508080754458
28,1.0,0.3071,22.394146462031753
29,1.0,0.3992,27.27818453001219
30,1.0,0.3866,26.646623117782546
31,1.0,0.3763,26.12213957703186
32,1.0,1.457,57.78901299431701
33,1.0,1.174,52.45191480307548
34,1.0,0.3435,24.40080398829315
35,1.0,0.2958,21.749352321591893
36,1.0,0.2935,21.61679643944967
37,1.0,0.288,21.29798656822266
38,1.0,0.2733,20.433026144451517
39,1.0,0.3105,22.586080795881102
40,1.0,0.3016,22.081641308943254
