2theta Intensity
5.952139160268129503e-01 2.597358465194702148e+00
6.015387680369312928e-01 2.673277616500854492e+00
6.078636200470497464e-01 2.676477193832397461e+00
6.141884720571680889e-01 2.976006746292114258e+00
6.205133240672864314e-01 2.976006746292114258e+00
6.268381760774048850e-01 2.976006746292114258e+00
6.331630280875232275e-01 2.976006746292114258e+00
6.394878800976415700e-01 3.065682649612426758e+00
6.458127321077600236e-01 3.336138248443603516e+00
6.521375841178783661e-01 3.336138248443603516e+00
6.584624361279967086e-01 3.336138248443603516e+00
6.647872881381151622e-01 3.336138248443603516e+00
6.711121401482335047e-01 3.336138248443603516e+00
6.774369921583518472e-01 3.208423137664794922e+00
6.837618441684703008e-01 3.128960371017456055e+00
6.900866961785886433e-01 2.662929534912109375e+00
6.964115481887069858e-01 2.598950147628784180e+00
7.027364001988254394e-01 2.659573078155517578e+00
7.090612522089437819e-01 2.553470134735107422e+00
7.153861042190621244e-01 2.553470134735107422e+00
7.217109562291805780e-01 2.553470134735107422e+00
7.280358082392989205e-01 2.642924547195434570e+00
7.343606602494172630e-01 2.564142942428588867e+00
7.406855122595356056e-01 2.533052444458007812e+00
7.470103642696540591e-01 2.533052444458007812e+00
7.533352162797724016e-01 2.533052444458007812e+00
7.596600682898907442e-01 2.519568681716918945e+00
7.659849203000091977e-01 2.356590270996093750e+00
7.723097723101275403e-01 2.057051658630371094e+00
7.786346243202458828e-01 2.057051658630371094e+00
7.849594763303642253e-01 2.070551156997680664e+00
7.912843283404826789e-01 2.130139350891113281e+00
7.976091803506010214e-01 2.136541366577148438e+00
8.039340323607193639e-01 2.105797529220581055e+00
8.102588843708378175e-01 1.989726901054382324e+00
8.165837363809561600e-01 1.928985476493835449e+00
8.229085883910745025e-01 2.065517902374267578e+00
8.292334404011929561e-01 2.066145420074462891e+00
8.355582924113112986e-01 2.066145420074462891e+00
8.418831444214296411e-01 2.066145420074462891e+00
8.482079964315480947e-01 2.107975006103515625e+00
8.545328484416664372e-01 2.180847406387329102e+00
8.608577004517847797e-01 2.171694755554199219e+00
8.671825524619032333e-01 2.143532514572143555e+00
8.735074044720215758e-01 2.111457109451293945e+00
8.798322564821399183e-01 2.088772773742675781e+00
8.861571084922583719e-01 2.090849399566650391e+00
8.924819605023767144e-01 2.025142669677734375e+00
8.988068125124950569e-01 2.158345222473144531e+00
9.051316645226135105e-01 2.158345222473144531e+00
9.114565165327318530e-01 2.223405361175537109e+00
9.177813685428501955e-01 2.275310039520263672e+00
9.241062205529686491e-01 2.165126323699951172e+00
9.304310725630869916e-01 2.178640127182006836e+00
9.367559245732053341e-01 2.246922969818115234e+00
9.430807765833237877e-01 2.220245838165283203e+00
9.494056285934421302e-01 2.234811782836914062e+00
9.557304806035604727e-01 2.234811782836914062e+00
9.620553326136789263e-01 2.234811782836914062e+00
9.683801846237972688e-01 2.234811782836914062e+00
9.747050366339156113e-01 2.508940696716308594e+00
9.810298886440340649e-01 2.505675554275512695e+00
9.873547406541524074e-01 2.583081245422363281e+00
9.936795926642707499e-01 2.563048839569091797e+00
1.000004444674389203e+00 2.578220605850219727e+00
1.006329296684507657e+00 2.497074127197265625e+00
1.012654148694625889e+00 2.488086223602294922e+00
1.018979000704744342e+00 2.513952016830444336e+00
1.025303852714862796e+00 2.541900873184204102e+00
1.031628704724981027e+00 2.547049283981323242e+00
1.037953556735099481e+00 2.544873714447021484e+00
1.044278408745217712e+00 2.544873714447021484e+00
1.050603260755336166e+00 2.544857978820800781e+00
1.056928112765454619e+00 2.644456386566162109e+00
1.063252964775572851e+00 2.610834836959838867e+00
1.069577816785691304e+00 2.613027811050415039e+00
1.075902668795809758e+00 2.554821491241455078e+00
1.082227520805927989e+00 2.412921428680419922e+00
1.088552372816046443e+00 2.454487323760986328e+00
1.094877224826164896e+00 2.439824104309082031e+00
1.101202076836283350e+00 2.390802383422851562e+00
1.107526928846401582e+00 2.442301034927368164e+00
1.113851780856519813e+00 2.478706836700439453e+00
1.120176632866638489e+00 2.432540416717529297e+00
1.126501484876756720e+00 2.471391201019287109e+00
1.132826336886874952e+00 2.429803848266601562e+00
1.139151188896993627e+00 2.426240205764770508e+00
1.145476040907111859e+00 2.448784589767456055e+00
1.151800892917230090e+00 2.500468492507934570e+00
1.158125744927348766e+00 2.558100938796997070e+00
1.164450596937466997e+00 2.349541187286376953e+00
1.170775448947585229e+00 2.317550420761108398e+00
1.177100300957703682e+00 2.299350023269653320e+00
1.183425152967822136e+00 2.318097591400146484e+00
1.189750004977940367e+00 2.451207876205444336e+00
1.196074856988058821e+00 2.461640596389770508e+00
1.202399708998177275e+00 2.269239902496337891e+00
1.208724561008295506e+00 2.234872817993164062e+00
1.215049413018413960e+00 2.259845733642578125e+00
1.221374265028532413e+00 2.242579221725463867e+00
1.227699117038650645e+00 2.232633113861083984e+00
1.234023969048769098e+00 2.194035530090332031e+00
1.240348821058887552e+00 2.136070728302001953e+00
1.246673673069005783e+00 2.178764581680297852e+00
1.252998525079124237e+00 2.204153776168823242e+00
1.259323377089242690e+00 2.081380367279052734e+00
1.265648229099360922e+00 2.113439083099365234e+00
1.271973081109479375e+00 2.259874105453491211e+00
1.278297933119597829e+00 2.186863422393798828e+00
1.284622785129716060e+00 2.167490720748901367e+00
1.290947637139834514e+00 2.085003614425659180e+00
1.297272489149952968e+00 2.142967939376831055e+00
1.303597341160071199e+00 2.061995744705200195e+00
1.309922193170189653e+00 2.042912721633911133e+00
1.316247045180308106e+00 2.013184547424316406e+00
1.322571897190426338e+00 1.935011982917785645e+00
1.328896749200544791e+00 1.835487723350524902e+00
1.335221601210663245e+00 1.882414698600769043e+00
1.341546453220781476e+00 1.883767962455749512e+00
1.347871305230899930e+00 1.819112181663513184e+00
1.354196157241018383e+00 1.816712379455566406e+00
1.360521009251136615e+00 1.898475527763366699e+00
1.366845861261255068e+00 2.000467061996459961e+00
1.373170713271373522e+00 2.059752225875854492e+00
1.379495565281491753e+00 2.056266307830810547e+00
1.385820417291610207e+00 2.056267499923706055e+00
1.392145269301728661e+00 2.026595592498779297e+00
1.398470121311846892e+00 1.966448307037353516e+00
1.404794973321965346e+00 1.888571619987487793e+00
1.411119825332083799e+00 1.899219036102294922e+00
1.417444677342202031e+00 1.989981532096862793e+00
1.423769529352320484e+00 2.045997619628906250e+00
1.430094381362438938e+00 2.045108795166015625e+00
1.436419233372557169e+00 2.045108795166015625e+00
1.442744085382675623e+00 2.008218526840209961e+00
1.449068937392794076e+00 2.048716783523559570e+00
1.455393789402912308e+00 2.094143390655517578e+00
1.461718641413030761e+00 2.205838680267333984e+00
1.468043493423149215e+00 2.127215385437011719e+00
1.474368345433267447e+00 2.112916231155395508e+00
1.480693197443385900e+00 2.186095952987670898e+00
1.487018049453504354e+00 2.222528696060180664e+00
1.493342901463622585e+00 2.087540626525878906e+00
1.499667753473741039e+00 2.015063524246215820e+00
1.505992605483859492e+00 2.074042081832885742e+00
1.512317457493977724e+00 2.106614589691162109e+00
1.518642309504096177e+00 2.118165969848632812e+00
1.524967161514214631e+00 2.175941467285156250e+00
1.531292013524332862e+00 2.202853202819824219e+00
1.537616865534451316e+00 2.294216871261596680e+00
1.543941717544569769e+00 2.267059087753295898e+00
1.550266569554688001e+00 2.294103622436523438e+00
1.556591421564806454e+00 2.259745836257934570e+00
1.562916273574924908e+00 2.316417932510375977e+00
1.569241125585043140e+00 2.305684328079223633e+00
1.575565977595161593e+00 2.343696832656860352e+00
1.581890829605280047e+00 2.526135921478271484e+00
1.588215681615398278e+00 2.511227369308471680e+00
1.594540533625516732e+00 2.475913763046264648e+00
1.600865385635635185e+00 2.445755004882812500e+00
1.607190237645753417e+00 2.491326570510864258e+00
1.613515089655871648e+00 2.538649797439575195e+00
1.619839941665990324e+00 2.651746034622192383e+00
1.626164793676108555e+00 2.637082576751708984e+00
1.632489645686226787e+00 2.666085243225097656e+00
1.638814497696345462e+00 2.664181470870971680e+00
1.645139349706463694e+00 2.683016061782836914e+00
1.651464201716581925e+00 2.686706781387329102e+00
1.657789053726700601e+00 2.672265291213989258e+00
1.664113905736818833e+00 2.649642944335937500e+00
1.670438757746937064e+00 2.569346904754638672e+00
1.676763609757055740e+00 2.494647979736328125e+00
1.683088461767173971e+00 2.461859941482543945e+00
1.689413313777292203e+00 2.453967094421386719e+00
1.695738165787410878e+00 2.321305036544799805e+00
1.702063017797529110e+00 2.302553892135620117e+00
1.708387869807647341e+00 2.290406942367553711e+00
1.714712721817766017e+00 2.258506774902343750e+00
1.721037573827884248e+00 2.292628526687622070e+00
1.727362425838002480e+00 2.311876773834228516e+00
1.733687277848121155e+00 2.244277000427246094e+00
1.740012129858239387e+00 2.117597341537475586e+00
1.746336981868357618e+00 2.079335927963256836e+00
1.752661833878476294e+00 2.029947280883789062e+00
1.758986685888594526e+00 2.041129350662231445e+00
1.765311537898712757e+00 2.025854349136352539e+00
1.771636389908831433e+00 2.003077268600463867e+00
1.777961241918949664e+00 2.000828742980957031e+00
1.784286093929067896e+00 2.034854412078857422e+00
1.790610945939186571e+00 1.966981410980224609e+00
1.796935797949304803e+00 1.964075684547424316e+00
1.803260649959423034e+00 1.931939005851745605e+00
1.809585501969541710e+00 1.936080574989318848e+00
1.815910353979659941e+00 1.928198695182800293e+00
1.822235205989778173e+00 1.990121006965637207e+00
1.828560057999896848e+00 1.930873870849609375e+00
1.834884910010015080e+00 1.946545004844665527e+00
1.841209762020133311e+00 1.937326431274414062e+00
1.847534614030251987e+00 1.988556861877441406e+00
1.853859466040370219e+00 1.968234896659851074e+00
1.860184318050488450e+00 1.924128532409667969e+00
1.866509170060607126e+00 1.906597614288330078e+00
1.872834022070725357e+00 1.914354681968688965e+00
1.879158874080843589e+00 1.870656251907348633e+00
1.885483726090962264e+00 1.907343506813049316e+00
1.891808578101080496e+00 1.892326354980468750e+00
1.898133430111198727e+00 1.847436785697937012e+00
1.904458282121317403e+00 1.807360172271728516e+00
1.910783134131435634e+00 1.819677948951721191e+00
1.917107986141553866e+00 1.873572230339050293e+00
1.923432838151672541e+00 1.847072720527648926e+00
1.929757690161790773e+00 1.864923954010009766e+00
1.936082542171909004e+00 1.934893131256103516e+00
1.942407394182027680e+00 1.940647125244140625e+00
1.948732246192145912e+00 1.908133745193481445e+00
1.955057098202264143e+00 1.951688051223754883e+00
1.961381950212382819e+00 1.974652647972106934e+00
1.967706802222501050e+00 1.902546286582946777e+00
1.974031654232619282e+00 1.957765460014343262e+00
1.980356506242737957e+00 1.957109332084655762e+00
1.986681358252856189e+00 1.963439226150512695e+00
1.993006210262974420e+00 2.067752599716186523e+00
1.999331062273093096e+00 2.105387926101684570e+00
2.005655914283211327e+00 2.065039634704589844e+00
2.011980766293329559e+00 2.069686651229858398e+00
2.018305618303448234e+00 2.108902692794799805e+00
2.024630470313566466e+00 2.115175962448120117e+00
2.030955322323684697e+00 2.169819116592407227e+00
2.037280174333803373e+00 2.203380346298217773e+00
2.043605026343921605e+00 2.093642950057983398e+00
2.049929878354039836e+00 2.004926443099975586e+00
2.056254730364158068e+00 1.937428951263427734e+00
2.062579582374276743e+00 1.891272068023681641e+00
2.068904434384394975e+00 1.925604462623596191e+00
2.075229286394513206e+00 1.945338129997253418e+00
2.081554138404631882e+00 1.951712489128112793e+00
2.087878990414750113e+00 1.921995759010314941e+00
2.094203842424868345e+00 1.914528012275695801e+00
2.100528694434987020e+00 1.947030425071716309e+00
2.106853546445105252e+00 1.891738891601562500e+00
2.113178398455223483e+00 1.862435102462768555e+00
2.119503250465342159e+00 1.787716507911682129e+00
2.125828102475460391e+00 1.770381569862365723e+00
2.132152954485578622e+00 1.708059668540954590e+00
2.138477806495697298e+00 1.688323736190795898e+00
2.144802658505815529e+00 1.736022591590881348e+00
2.151127510515933761e+00 1.689018845558166504e+00
2.157452362526052436e+00 1.683840870857238770e+00
2.163777214536170668e+00 1.686163306236267090e+00
2.170102066546288899e+00 1.725416660308837891e+00
2.176426918556407575e+00 1.773836851119995117e+00
2.182751770566525806e+00 1.837843418121337891e+00
2.189076622576644038e+00 1.852968692779541016e+00
2.195401474586762713e+00 1.885879874229431152e+00
2.201726326596880945e+00 1.900644302368164062e+00
2.208051178606999176e+00 1.930801391601562500e+00
2.214376030617117852e+00 1.892557382583618164e+00
2.220700882627236084e+00 1.956115365028381348e+00
2.227025734637354315e+00 1.981077075004577637e+00
2.233350586647472991e+00 1.945065498352050781e+00
2.239675438657591222e+00 1.961885929107666016e+00
2.246000290667709454e+00 1.909331798553466797e+00
2.252325142677828129e+00 1.871020197868347168e+00
2.258649994687946361e+00 1.952841520309448242e+00
2.264974846698064592e+00 1.998735666275024414e+00
2.271299698708183268e+00 2.025612354278564453e+00
2.277624550718301499e+00 2.044690847396850586e+00
2.283949402728419731e+00 2.075528860092163086e+00
2.290274254738538406e+00 2.098243236541748047e+00
2.296599106748656638e+00 2.088279485702514648e+00
2.302923958758774869e+00 2.019836664199829102e+00
2.309248810768893545e+00 1.949899315834045410e+00
2.315573662779011777e+00 1.932173371315002441e+00
2.321898514789130008e+00 1.938855528831481934e+00
2.328223366799248684e+00 1.995050549507141113e+00
2.334548218809366915e+00 2.077530384063720703e+00
2.340873070819485147e+00 2.148460865020751953e+00
2.347197922829603822e+00 2.206133365631103516e+00
2.353522774839722054e+00 2.154984235763549805e+00
2.359847626849840285e+00 2.186681985855102539e+00
2.366172478859958961e+00 2.196797609329223633e+00
2.372497330870077192e+00 2.198347091674804688e+00
2.378822182880195424e+00 2.271542310714721680e+00
2.385147034890314099e+00 2.280638933181762695e+00
2.391471886900432331e+00 2.190079212188720703e+00
2.397796738910550562e+00 2.117370605468750000e+00
2.404121590920669238e+00 2.122210264205932617e+00
2.410446442930787470e+00 2.191000223159790039e+00
2.416771294940905701e+00 2.182884454727172852e+00
2.423096146951024377e+00 2.201062679290771484e+00
2.429420998961142608e+00 2.221733331680297852e+00
2.435745850971260840e+00 2.285772562026977539e+00
2.442070702981379515e+00 2.246750831604003906e+00
