gamma  mean  std
-1.794999999701976776e+02 3.207454681396484375e+01 2.332765340805053711e+00
-1.784999999105930328e+02 3.072490501403808594e+01 9.437543749809265137e-01
-1.774999998509883881e+02 3.126077461242675781e+01 9.533361792564392090e-01
-1.764999997913837433e+02 3.174445152282714844e+01 8.927189111709594727e-01
-1.754999997317790985e+02 3.148354721069335938e+01 1.145362257957458496e+00
-1.744999996721744253e+02 3.142918395996093750e+01 7.811927199363708496e-01
-1.734999996125698090e+02 3.134312820434570312e+01 8.769079446792602539e-01
-1.724999995529651642e+02 3.104146957397460938e+01 9.368072152137756348e-01
-1.714999994933605194e+02 3.216530609130859375e+01 5.342735052108764648e-01
-1.704999994337558746e+02 3.267479324340820312e+01 9.154819846153259277e-01
-1.694999993741512299e+02 3.309643936157226562e+01 1.342351436614990234e+00
-1.684999993145465851e+02 3.885993576049804688e+01 1.129529190063476562e+01
-1.674999992549419403e+02 3.463583755493164062e+01 2.948669195175170898e+00
-1.664999991953372955e+02 3.338536834716796875e+01 1.222819924354553223e+00
-1.654999991357326508e+02 3.281769180297851562e+01 1.118930697441101074e+00
-1.644999990761280060e+02 3.253847503662109375e+01 5.219536423683166504e-01
-1.634999990165233612e+02 3.181512832641601562e+01 7.490427494049072266e-01
-1.624999989569187164e+02 3.232653808593750000e+01 7.913998961448669434e-01
-1.614999988973140717e+02 3.204423141479492188e+01 9.450924992561340332e-01
-1.604999988377094269e+02 3.216923904418945312e+01 1.394896626472473145e+00
-1.594999987781047821e+02 3.103979110717773438e+01 8.831680417060852051e-01
-1.584999987185001373e+02 3.127354049682617188e+01 6.332701444625854492e-01
-1.574999986588954926e+02 3.137533569335937500e+01 5.127440690994262695e-01
-1.564999985992908478e+02 3.061714363098144531e+01 1.068188071250915527e+00
-1.554999985396862030e+02 3.101613807678222656e+01 7.406517863273620605e-01
-1.544999984800815582e+02 3.121969032287597656e+01 1.099228262901306152e+00
-1.534999984204769135e+02 3.121433448791503906e+01 1.288918495178222656e+00
-1.524999983608722687e+02 3.127966880798339844e+01 1.134434342384338379e+00
-1.514999983012676239e+02 3.097368812561035156e+01 6.308344602584838867e-01
-1.504999982416629791e+02 3.170387268066406250e+01 1.207032799720764160e+00
-1.494999981820583344e+02 3.045710945129394531e+01 1.073813915252685547e+00
-1.484999981224536896e+02 3.162759208679199219e+01 9.235400557518005371e-01
-1.474999980628490448e+02 3.110707473754882812e+01 6.118779778480529785e-01
-1.464999980032444000e+02 3.102532005310058594e+01 7.422009706497192383e-01
-1.454999979436397552e+02 3.135133171081542969e+01 1.501824259757995605e+00
-1.444999978840351105e+02 3.181703376770019531e+01 9.275195002555847168e-01
-1.434999978244304657e+02 3.203865814208984375e+01 1.036938905715942383e+00
-1.424999977648258209e+02 3.230772018432617188e+01 7.260693907737731934e-01
-1.414999977052211761e+02 3.282487869262695312e+01 1.029102206230163574e+00
-1.404999976456165314e+02 3.196712303161621094e+01 1.063293099403381348e+00
-1.394999975860118866e+02 3.156957054138183594e+01 7.468515634536743164e-01
-1.384999975264072418e+02 3.196619987487792969e+01 5.928736925125122070e-01
-1.374999974668025970e+02 3.172030258178710938e+01 1.374746322631835938e+00
-1.364999974071979523e+02 3.122797966003417969e+01 9.590924382209777832e-01
-1.354999973475933075e+02 3.165767478942871094e+01 8.679618239402770996e-01
-1.344999972879886627e+02 3.117250442504882812e+01 1.184755802154541016e+00
-1.334999972283840179e+02 3.132025718688964844e+01 1.063843488693237305e+00
-1.324999971687793732e+02 3.215887069702148438e+01 6.612170338630676270e-01
-1.314999971091747284e+02 3.141494178771972656e+01 5.276890397071838379e-01
-1.304999970495700836e+02 3.187951087951660156e+01 9.126727581024169922e-01
-1.294999969899654388e+02 3.440116119384765625e+01 3.576164722442626953e+00
-1.284999969303607941e+02 4.175334930419921875e+01 1.117745018005371094e+01
-1.274999968707561493e+02 4.801117324829101562e+01 1.792546844482421875e+01
-1.264999968111514903e+02 4.244736099243164062e+01 1.202454948425292969e+01
-1.254999967515468740e+02 3.442209625244140625e+01 3.756704807281494141e+00
-1.244999966919422150e+02 3.316181564331054688e+01 1.792549610137939453e+00
-1.234999966323375702e+02 3.131646728515625000e+01 7.677420973777770996e-01
-1.224999965727329112e+02 3.268030548095703125e+01 2.177169084548950195e+00
-1.214999965131282806e+02 3.759983444213867188e+01 7.806982994079589844e+00
-1.204999964535236359e+02 4.932409286499023438e+01 2.209447288513183594e+01
-1.194999963939190053e+02 8.022620391845703125e+01 5.981723403930664062e+01
-1.184999963343143605e+02 6.229006576538085938e+01 3.669615936279296875e+01
-1.174999962747097015e+02 3.534441757202148438e+01 5.729622840881347656e+00
-1.164999962151050568e+02 3.155000495910644531e+01 1.480964779853820801e+00
-1.154999961555003978e+02 3.153282356262207031e+01 1.201400995254516602e+00
-1.144999960958957672e+02 3.137262153625488281e+01 1.234179139137268066e+00
-1.134999960362911224e+02 3.064971733093261719e+01 8.735634684562683105e-01
-1.124999959766864777e+02 3.142044067382812500e+01 6.816118955612182617e-01
-1.114999959170818329e+02 3.171915817260742188e+01 1.159647464752197266e+00
-1.104999958574771881e+02 3.225447463989257812e+01 1.089555859565734863e+00
-1.094999957978725291e+02 3.240041351318359375e+01 1.029029965400695801e+00
-1.084999957382678986e+02 3.332617187500000000e+01 9.178131818771362305e-01
-1.074999956786632538e+02 3.393451309204101562e+01 1.186453461647033691e+00
-1.064999956190586090e+02 3.515246963500976562e+01 1.126623153686523438e+00
-1.054999955594539642e+02 3.634145355224609375e+01 2.020702123641967773e+00
-1.044999954998493195e+02 3.736680221557617188e+01 2.566107988357543945e+00
-1.034999954402446747e+02 3.855377197265625000e+01 2.269559860229492188e+00
-1.024999953806400299e+02 3.642510986328125000e+01 2.294523954391479492e+00
-1.014999953210353851e+02 3.564876174926757812e+01 9.565706253051757812e-01
-1.004999952614307404e+02 3.348572540283203125e+01 7.786196470260620117e-01
-9.949999520182609558e+01 3.290956497192382812e+01 1.146292686462402344e+00
-9.849999514222145081e+01 3.213916397094726562e+01 1.558246731758117676e+00
-9.749999508261680603e+01 3.100805091857910156e+01 1.007138490676879883e+00
-9.649999502301216125e+01 3.080572128295898438e+01 8.808214664459228516e-01
-9.549999496340751648e+01 3.175767326354980469e+01 9.320883154869079590e-01
-9.449999490380287170e+01 3.066340827941894531e+01 5.659281015396118164e-01
-9.349999484419822693e+01 3.074608993530273438e+01 1.009847521781921387e+00
-9.249999478459358215e+01 3.097064590454101562e+01 1.513890504837036133e+00
-9.149999472498893738e+01 3.133067512512207031e+01 1.508806586265563965e+00
-9.049999466538429260e+01 3.026120185852050781e+01 1.142132043838500977e+00
-8.949999460577964783e+01 2.896576309204101562e+01 1.501541376113891602e+00
-8.849999454617500305e+01 3.017076110839843750e+01 1.178544163703918457e+00
-8.749999448657035828e+01 3.066460037231445312e+01 1.037846922874450684e+00
-8.649999442696571350e+01 2.999250793457031250e+01 1.122766137123107910e+00
-8.549999436736106873e+01 2.937537765502929688e+01 4.777346551418304443e-01
-8.449999430775642395e+01 2.963793563842773438e+01 5.788676738739013672e-01
-8.349999424815177917e+01 2.949355888366699219e+01 6.908215284347534180e-01
-8.249999418854713440e+01 3.014616584777832031e+01 9.510011076927185059e-01
-8.149999412894248962e+01 2.985769462585449219e+01 1.159813523292541504e+00
-8.049999406933784485e+01 3.051398658752441406e+01 8.980411887168884277e-01
-7.949999400973320007e+01 2.998984718322753906e+01 1.303535461425781250e+00
-7.849999395012855530e+01 3.011494827270507812e+01 9.254036545753479004e-01
-7.749999389052391052e+01 2.934060096740722656e+01 1.429323315620422363e+00
-7.649999383091926575e+01 2.955900573730468750e+01 7.750642895698547363e-01
-7.549999377131462097e+01 2.980179214477539062e+01 1.287442445755004883e+00
-7.449999371170997620e+01 2.994038009643554688e+01 6.209563016891479492e-01
-7.349999365210533142e+01 3.071925544738769531e+01 3.409024775028228760e-01
-7.249999359250068665e+01 2.934565925598144531e+01 9.099139571189880371e-01
-7.149999353289604187e+01 3.018466186523437500e+01 6.061449646949768066e-01
-7.049999347329139709e+01 3.024324035644531250e+01 1.352357506752014160e+00
-6.949999341368675232e+01 2.940298652648925781e+01 7.421769499778747559e-01
-6.849999335408210754e+01 2.985190773010253906e+01 1.341063857078552246e+00
-6.749999329447746277e+01 2.887181663513183594e+01 2.328148186206817627e-01
-6.649999323487281799e+01 2.983470726013183594e+01 1.082382321357727051e+00
-6.549999317526817322e+01 2.988112449645996094e+01 1.011594414710998535e+00
-6.449999311566352844e+01 3.003993797302246094e+01 7.898731231689453125e-01
-6.349999305605889788e+01 2.940681266784667969e+01 1.272830367088317871e+00
-6.249999299645424600e+01 3.024702453613281250e+01 1.094153046607971191e+00
-6.149999293684959412e+01 2.966554069519042969e+01 1.227865934371948242e+00
-6.049999287724494224e+01 2.928792762756347656e+01 1.055998325347900391e+00
-5.949999281764031167e+01 2.942164421081542969e+01 1.119471907615661621e+00
-5.849999275803565979e+01 2.953103256225585938e+01 8.740986585617065430e-01
-5.749999269843100791e+01 3.018374443054199219e+01 1.170799374580383301e+00
-5.649999263882638445e+01 3.092561721801757812e+01 7.291725277900695801e-01
-5.549999257922173257e+01 2.955874824523925781e+01 1.194239735603332520e+00
-5.449999251961708069e+01 2.998784255981445312e+01 1.105564236640930176e+00
-5.349999246001242881e+01 2.998596000671386719e+01 1.624738693237304688e+00
-5.249999240040779824e+01 2.952118873596191406e+01 8.621175885200500488e-01
-5.149999234080314636e+01 3.020731735229492188e+01 8.134081959724426270e-01
-5.049999228119849448e+01 3.058859634399414062e+01 7.648532390594482422e-01
-4.949999222159387102e+01 2.958097648620605469e+01 7.850663065910339355e-01
-4.849999216198921914e+01 3.055598831176757812e+01 1.111940860748291016e+00
-4.749999210238456726e+01 3.044781875610351562e+01 4.291822612285614014e-01
-4.649999204277991538e+01 3.062107276916503906e+01 8.717230558395385742e-01
-4.549999198317528482e+01 3.023830604553222656e+01 6.723843216896057129e-01
-4.449999192357063293e+01 3.010212326049804688e+01 1.165954470634460449e+00
-4.349999186396598105e+01 3.035713768005371094e+01 1.039946556091308594e+00
-4.249999180436135759e+01 3.032981300354003906e+01 8.117839694023132324e-01
-4.149999174475670571e+01 3.075009155273437500e+01 8.566332459449768066e-01
-4.049999168515205383e+01 3.098238563537597656e+01 1.387981414794921875e+00
-3.949999162554740195e+01 3.089802360534667969e+01 1.044553756713867188e+00
-3.849999156594277139e+01 3.214613723754882812e+01 1.515803337097167969e+00
-3.749999150633811951e+01 3.447761154174804688e+01 3.323516607284545898e+00
-3.649999144673346763e+01 4.325886154174804688e+01 1.201008224487304688e+01
-3.549999138712884417e+01 5.186059951782226562e+01 2.093981552124023438e+01
-3.449999132752419229e+01 4.887194442749023438e+01 1.902769088745117188e+01
-3.349999126791954041e+01 4.196100234985351562e+01 1.160431766510009766e+01
-3.249999120831488852e+01 3.546309280395507812e+01 4.425890922546386719e+00
-3.149999114871025796e+01 3.199557113647460938e+01 9.614233970642089844e-01
-3.049999108910560608e+01 3.113282966613769531e+01 7.926124930381774902e-01
-2.949999102950095420e+01 3.195031929016113281e+01 1.501218795776367188e+00
-2.849999096989632719e+01 3.330973052978515625e+01 2.838907718658447266e+00
-2.749999091029167531e+01 3.491311645507812500e+01 4.252312660217285156e+00
-2.649999085068702342e+01 3.285424804687500000e+01 2.523967504501342773e+00
-2.549999079108239641e+01 3.127355575561523438e+01 1.311151862144470215e+00
-2.449999073147774453e+01 3.121908569335937500e+01 1.005003213882446289e+00
-2.349999067187309265e+01 3.059486770629882812e+01 8.064763545989990234e-01
-2.249999061226844077e+01 3.018008995056152344e+01 1.287075161933898926e+00
-2.149999055266381376e+01 3.038232040405273438e+01 5.117886066436767578e-01
-2.049999049305916188e+01 3.096998023986816406e+01 9.458170533180236816e-01
-1.949999043345451000e+01 3.081098937988281250e+01 1.063030004501342773e+00
-1.849999037384988299e+01 3.109783744812011719e+01 8.817635178565979004e-01
-1.749999031424523110e+01 3.055099487304687500e+01 8.353056907653808594e-01
-1.649999025464057922e+01 3.123367691040039062e+01 9.737758040428161621e-01
-1.549999019503592734e+01 3.084220886230468750e+01 1.019715189933776855e+00
-1.449999013543130033e+01 3.100206565856933594e+01 1.748453855514526367e+00
-1.349999007582664845e+01 3.087753295898437500e+01 6.321806311607360840e-01
-1.249999001622199657e+01 3.069562721252441406e+01 1.120509505271911621e+00
-1.149998995661736956e+01 3.040511894226074219e+01 7.131245136260986328e-01
-1.049998989701271768e+01 2.974195671081542969e+01 1.090973377227783203e+00
-9.499989837408065796e+00 2.977490234375000000e+01 8.327775001525878906e-01
-8.499989777803413915e+00 3.009655570983886719e+01 9.070152640342712402e-01
-7.499989718198786903e+00 2.959368896484375000e+01 8.394268751144409180e-01
-6.499989658594135022e+00 2.971824073791503906e+01 1.339932918548583984e+00
-5.499989598989483142e+00 2.976715660095214844e+01 1.006964564323425293e+00
-4.499989539384856130e+00 2.880476951599121094e+01 8.608515858650207520e-01
-3.499989479780204249e+00 2.924336433410644531e+01 1.203631043434143066e+00
-2.499989420175551924e+00 2.932806587219238281e+01 1.133847236633300781e+00
-1.499989360570899821e+00 2.972540473937988281e+01 6.294587850570678711e-01
-4.999893009662732535e-01 2.874083137512207031e+01 1.532587647438049316e+00
5.000107586383788494e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.500010818243030952e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500010877847657742e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500010937452309623e+00 3.028572654724121094e+01 3.777199983596801758e+00
4.500010997056961948e+00 3.042817878723144531e+01 1.211585044860839844e+00
5.500011056661613829e+00 3.192172241210937500e+01 2.886385917663574219e+00
6.500011116266240840e+00 3.217171096801757812e+01 2.999611854553222656e+00
7.500011175870892721e+00 3.092747497558593750e+01 1.686947464942932129e+00
8.500011235475545490e+00 2.976069831848144531e+01 1.251939892768859863e+00
9.500011295080170726e+00 2.950845336914062500e+01 7.260902523994445801e-01
1.050001135468482261e+01 2.978585433959960938e+01 1.129572987556457520e+00
