row  column  w(Ti_K)  w(V_K)  Ti_K  V_K  s(Ti_K)  s(V_K)  chisq
0  0  1  0.276979  44325  19689.5  307.118  185.516  1.80157
1  0  1  0.0223393  5567.1  199.452  324.352  42.5019  2.0895
2  0  1  0.0591129  3.3741  0.319875  18.0132  22.8859  1.72114
3  0  1  0.0328362  99.1162  5.2196  261.643  15.7318  1.77172
4  0  1  0.264462  27501.6  11664.4  807.131  359.439  1.66696
5  0  1  0.295119  38719.4  18325.9  227.013  162.447  1.84415
6  0  1  0.300291  36029.9  17351.8  212.18  156.558  1.813
7  0  1  0.359339  15806.2  9109.04  616.663  360.774  1.77031
8  0  1  0.0455684  1438.2  105.105  648.029  53.3989  2.21235
9  0  1  0.334167  17193.4  9214.34  560.23  306.506  1.76852
10  0  1  0.336654  15094.4  8149.64  195.574  127.877  1.76184
11  0  1  9.29463  8.0029  119.294  26.0549  24.5433  18.2046
12  0  1  0.358508  15409.5  8859.85  576.048  315.493  1.77102
13  0  1  0.302153  36179.4  17531.8  220.204  158.63  1.82094
14  0  1  0.282329  43691.2  19782.9  276.644  175.531  1.82186
15  0  1  0.335507  14290  7689.08  1540.29  830.038  1.71716
16  0  1  0.334485  15833.6  8493.69  1536.2  825.25  1.79018
17  0  1  0.339041  17541.8  9538.21  833.793  465.034  1.77632
18  0  1  0.344582  16160.6  8930.8  151.769  111.785  1.81547
19  0  1  15.3066  2.72563  66.909  19.3195  111.57  2.40008
20  0  1  0.360272  12110.2  6997.13  1661.46  983.595  1.6819
21  0  1  0.29574  38971.7  18484.2  219.108  160.973  1.78029
22  0  1  0.288018  44024.3  20335.4  915.295  435.209  1.85211
23  0  1  0.348812  13447.2  7522.53  898.745  506.203  1.80964
24  0  1  0.32937  13680.8  7226.6  646.443  345.626  1.71151
25  0  1  0.271632  22557.2  9826.63  242.512  138.759  1.69938
26  0  1  0.352136  8259.64  4664.56  1067.98  605.621  2.66638
27  0  1  0.275335  51121.1  22573.6  257.126  181.028  1.90155
28  0  1  0.291639  33032.3  15449.9  726.561  352.235  1.6573
29  0  1  0.295904  35432.4  16814.8  2125.54  1016.07  1.6738
30  0  1  0.284156  42067.1  19170.8  295.524  183.939  1.51026
31  0  1  0.279386  34941.4  15656.1  1613.59  716.529  1.66675
32  0  1  0.293052  40749.7  19151.8  1775.42  841.154  2.61832
33  0  1  0.279279  41486.6  18581.7  1321.73  600.437  1.74461
34  0  1  0.308905  34150.8  16918.6  327.275  195.67  1.67378
35  0  1  0.298824  35082.7  16813.1  2169.72  1049.59  1.72539
36  0  1  0.314097  32631.4  16437.6  209.874  154.243  1.76949
37  0  1  0.280113  33898.2  15228.2  213.119  149.401  1.76438
38  0  1  0.279212  35993.4  16117.5  630.353  305.402  1.66941
39  0  1  0.32194  27415.9  14155.2  516.511  283.163  1.61736
40  0  1  0.302759  34807.6  16901  211.577  153.732  1.72049
41  0  1  0.291388  38703.3  18086.7  218.537  159.708  1.79811
42  0  1  0.283057  38721.1  17577.7  263.833  169.276  1.73543
43  0  1  0.659335  12.3197  13.027  237.797  788.725  2.36392
44  0  1  0.280491  39959.7  17975.5  391.579  212.884  1.64693
45  0  1  0.288453  34689.3  16047.6  1534.14  714.053  2.13437
46  0  1  0.295309  36789.9  17423.8  212.551  156.576  1.78736
47  0  1  0.27631  37938.3  16811.8  643.208  308.098  1.66695
48  0  1  0.284038  39151.1  17834.5  221.411  158.503  1.84149
49  0  1  0.285883  35047.9  16069.1  697.333  340.405  1.67875
50  0  1  0.289769  36436.8  16932.9  376.641  208.956  1.63422
51  0  1  0.288102  36763.5  16986.5  2133.08  993.422  1.69776
52  0  1  0.295378  35457.8  16796.9  1264.42  615.204  1.72054
53  0  1  0.0623445  445.822  44.5758  129.435  19.7782  2.33811
54  0  1  0.290341  45252.3  21071.1  2401.34  1134.78  2.49257
55  0  1  13.1333  8.20319  172.781  21.1302  563.366  2.3544
56  0  1  0.0963635  17.0264  2.63132  1271.13  16.6658  2.6904
57  0  1  0.284593  39849.8  18188.2  664.607  325.95  1.68664
58  0  1  0.539193  401.205  346.937  164.125  139.968  1.66059
59  0  1  1.7211  35.7117  98.5725  90.4067  313.59  2.3163
60  0  1  0.381154  14737  9008.45  936.113  569.502  2.22052
61  0  1  0.350532  15932.7  8956.88  546.525  311.49  1.74726
62  0  1  0.363672  16819.8  9810.01  272.188  172.086  1.85236
63  0  1  0.882517  336.411  476.139  48.1837  39.066  1.70383
64  0  1  0.49478  8.16175  6.47642  37.7807  203.592  1.82978
65  0  1  0.353619  12175.8  6905.14  894.37  517.468  1.76388
66  0  1  0.355928  16049.7  9161.57  1114.14  637.871  1.77868
67  0  1  0.0171743  22.1613  0.610398  443.646  166.685  2.41069
68  0  1  0.276332  36063.7  15982.4  1650.17  735.987  1.70715
69  0  1  0.349066  17497.8  9795.56  272.27  171.195  1.81632
70  0  1  0.357177  11246.4  6442.2  319.298  192.455  1.76554
71  0  1  0.164459  684.207  180.462  401.83  107.858  1.79868
72  0  1  0.912325  49.7792  72.8345  23.0992  23.5987  2.60288
73  0  1  0.322096  19632.4  10141.4  270  166.214  1.77004
74  0  1  0.364422  16581.3  9690.9  866.063  545.736  1.75454
75  0  1  0.108683  9.97383  1.73846  30.4412  25.0298  1.79536
76  0  1  1.37837  97.6139  215.783  35.0742  31.2427  1.75746
77  0  1  0.371695  15975.1  9522.92  599.582  360.939  1.76376
78  0  1  0.272746  29370.1  12847  533.274  252.433  1.69215
79  0  1  0.133588  111580  23905.3  11713.3  10126.7  2.29921
80  0  1  0.116157  7.01481  1.30678  161.967  47.7332  2.05024
81  0  1  0.372958  13908.3  8319.04  1391.56  841.044  2.17008
82  0  1  0.306766  0.786055  0.386722  186.558  162.727  2.33218
83  0  1  0.0639313  2419.55  248.078  1070.43  114.423  2.32938
84  0  1  0.358038  16857.2  9679.49  580.338  341.016  1.84082
85  0  1  3.70697  3.48587  20.7238  52.9252  123.733  1.65896

