sample,scan_point,ring0_mean,ring0_std,ring0_cv,ring0_peak_valley,ring0_skewness,ring0_kurtosis,ring0_entropy,ring0_acf_length_deg,ring0_n_texture_peaks,ring0_completeness,ring0_integrated,ring0_texture_index,ring0_peak_fwhm_mean_deg,ring0_peak_fwhm_std_deg,ring0_peak_asymmetry_mean,ring0_fiber_symmetry_index,ring0_fourier_c2,ring0_fourier_c4,ring0_fourier_c6,ring0_arc_imbalance,ring0_warren_grain_proxy,ring0_cwt_n_peaks,ring0_cwt_dominant_scale_deg,ring0_cwt_total_power,ring0_cwt_scale_entropy,ring1_mean,ring1_std,ring1_cv,ring1_peak_valley,ring1_skewness,ring1_kurtosis,ring1_entropy,ring1_acf_length_deg,ring1_n_texture_peaks,ring1_completeness,ring1_integrated,ring1_texture_index,ring1_peak_fwhm_mean_deg,ring1_peak_fwhm_std_deg,ring1_peak_asymmetry_mean,ring1_fiber_symmetry_index,ring1_fourier_c2,ring1_fourier_c4,ring1_fourier_c6,ring1_arc_imbalance,ring1_warren_grain_proxy,ring1_cwt_n_peaks,ring1_cwt_dominant_scale_deg,ring1_cwt_total_power,ring1_cwt_scale_entropy,ring2_mean,ring2_std,ring2_cv,ring2_peak_valley,ring2_skewness,ring2_kurtosis,ring2_entropy,ring2_acf_length_deg,ring2_n_texture_peaks,ring2_completeness,ring2_integrated,ring2_texture_index,ring2_peak_fwhm_mean_deg,ring2_peak_fwhm_std_deg,ring2_peak_asymmetry_mean,ring2_fiber_symmetry_index,ring2_fourier_c2,ring2_fourier_c4,ring2_fourier_c6,ring2_arc_imbalance,ring2_warren_grain_proxy,ring2_cwt_n_peaks,ring2_cwt_dominant_scale_deg,ring2_cwt_total_power,ring2_cwt_scale_entropy
scan_point_0,0,587.6964111328125,6992.41259765625,11.898001187684718,114428890625000.0,14.464544296264648,216.00672912597656,1.6813313961029053,2.0000001192092896,3,0.95,211570.71875,142.56243896484375,1.1033263583049637,0.18945151610081917,nan,1.8377467061661983,1.6647748947143555,1.73459792137146,1.7584031820297241,0.8230618238449097,141.5624237060547,1,17.00000101327896,2689059679.6942606,3.397160050565927,38.43966293334961,9.385786056518555,0.24416931211890527,89629432678.22266,-0.45177653431892395,10.660511016845703,5.845339775085449,3.0000001788139343,29,0.95,13838.279296875,1.0596188306808472,90.56143108832957,42.396397290648515,0.08206417284164526,0.18585947651073262,0.07168120890855789,0.0591241829097271,0.08313100785017014,-0.04950735718011856,0.05961864814162254,8,30.000001788139343,38963.64547001859,3.1356956506856886,31.94894790649414,5.938853740692139,0.18588573739809974,55255252838.134766,-2.795672655105591,16.078142166137695,5.859097480773926,3.0000001788139343,49,0.95,11501.62109375,1.0345536470413208,98.79340624171654,49.96290206021621,0.16026772623638955,0.1771684054022552,0.0072977859526872635,0.030864596366882324,0.07014063000679016,-0.019227715209126472,0.03455350548028946,6,30.000001788139343,25895.52885828432,3.1376556523228776
scan_point_1,1,68.4166259765625,108.78502655029297,1.5900378745300812,2015241333007.8123,16.001728057861328,282.0758056640625,5.556880474090576,1.0000000596046448,19,0.95,24629.984375,3.5282201766967773,43.75627830962043,22.23958836264333,0.07936144105018128,0.5806574802847677,0.1560637205839157,0.30567851662635803,0.2070809304714203,-0.15921665728092194,2.5282204151153564,8,30.000001788139343,693703.1238120947,3.3143918899928035,37.60640335083008,8.733344078063965,0.23223024006285875,72525192260.74219,-1.279821753501892,9.458399772644043,5.847160816192627,4.000000238418579,32,0.95,13538.3046875,1.0539308786392212,93.0161606058343,38.086363561865,-0.027091963457286528,0.17867633118552034,0.05919695645570755,0.08841071277856827,0.07038024067878723,-0.04185649752616882,0.05393088608980179,6,30.000001788139343,42667.921962156826,3.0566319413743472,32.07546615600586,7.378964900970459,0.23005012195555608,91371635437.01172,1.0978082418441772,23.78236198425293,5.85291862487793,3.0000001788139343,27,0.95,11547.16796875,1.0529229640960693,104.5155068565837,55.861662817303646,0.12774678698141445,0.17214191742087911,0.043182067573070526,0.06592760980129242,0.10383471101522446,0.005707018543034792,0.0529230535030365,8,30.000001788139343,26214.05982937398,3.180576422050683
scan_point_2,2,66.27922821044922,58.94853973388672,0.8893968944042896,848288208007.8125,8.159212112426758,91.9040756225586,5.677781581878662,4.000000238418579,22,0.95,23860.5234375,1.7910269498825073,43.9452613427906,40.33992778525251,-0.05486178442348216,0.4863271827332016,0.257174015045166,0.20143745839595795,0.12954740226268768,-0.1154894083738327,0.7910268306732178,11,30.000001788139343,429958.81959419115,3.3362927589044906,38.26706314086914,8.787604331970215,0.22963884893965308,66302780151.36718,-1.6200919151306152,8.677645683288574,5.84732723236084,4.000000238418579,32,0.95,13776.142578125,1.0527340173721313,94.50098408747674,46.48062975684611,0.045263051901667066,0.20425371127983188,0.0571427159011364,0.06577560305595398,0.06290826201438904,-0.02958175167441368,0.052734002470970154,6,30.000001788139343,44975.620744182335,3.0870961420308998,31.461849212646484,6.516760349273682,0.20713214615033462,74938850402.83203,-0.8630632758140564,16.753398895263672,5.855987071990967,3.0000001788139343,32,0.95,11326.265625,1.0429035425186157,90.63201349865712,39.07570047082003,0.24107433155707783,0.19611336779707725,0.029978862032294273,0.07010951638221741,0.07312288880348206,-0.041376277804374695,0.04290372133255005,5,30.000001788139343,27622.81908449924,3.1327088147576494
scan_point_3,3,106.4427719116211,409.66632080078125,3.8487002305889324,6614301757812.5,13.889904022216797,201.27699279785156,4.879228591918945,2.0000001192092896,13,0.95,38319.3984375,15.81248950958252,20.440918521994465,24.344288056325976,0.119682404214755,0.8800415337908956,0.5628989934921265,0.7071727514266968,0.5731595158576965,-0.34511908888816833,14.812493324279785,1,20.000001192092896,11316168.907959763,3.389416320107,43.543861389160156,8.64059829711914,0.19843436069889148,69080963134.76562,-3.205230712890625,15.454080581665039,5.853357315063477,3.0000001788139343,32,0.95,15675.7900390625,1.0393762588500977,100.73214130270624,37.91236987291271,0.05703897980525515,0.14307271276679032,0.04676007106900215,0.09270662069320679,0.03359131142497063,-0.05801784619688988,0.03937619552016258,4,30.000001788139343,51030.89527031069,3.0172859292152205,35.49198532104492,6.349302768707275,0.17889398722765912,68157531738.28124,-3.1585733890533447,19.65892791748047,5.860361099243164,3.0000001788139343,56,0.95,12777.115234375,1.0320031642913818,101.82880321969215,49.97267907172245,0.08616747599951209,0.14524827182920752,0.04246056452393532,0.02371980808675289,0.03947707265615463,-0.027879472821950912,0.03200305625796318,6,30.000001788139343,34278.58965275375,3.076609789886655
scan_point_4,4,83.0916976928711,215.023193359375,2.5877819244247195,2947383789062.5,10.513045310974121,119.51931762695312,5.144959449768066,2.0000001192092896,12,0.95,29913.01171875,7.696616172790527,17.45702299009942,21.58173780000591,-0.035796081439079114,0.8058977151073081,0.1204555481672287,0.7238895297050476,0.2494865208864212,-0.19321244955062866,6.696615695953369,6,23.00000137090683,3367106.6392637026,3.375700663441549,42.66804122924805,75.8561782836914,1.7778219036615532,1385997924804.6875,16.107986450195312,274.4900817871094,5.562130928039551,1.0000000596046448,8,0.95,15360.4951171875,4.160651206970215,88.05397731597961,77.18150386503227,-0.018326347036532478,0.39940399393235154,0.28230538964271545,0.26488783955574036,0.21671231091022491,-0.1616508662700653,3.1606507301330566,2,30.000001788139343,332028.366890893,3.388863771693749,31.932313919067383,7.266578197479248,0.2275619053444241,82510932922.36328,0.6447449922561646,19.229007720947266,5.8530802726745605,3.0000001788139343,30,0.95,11495.6328125,1.0517843961715698,79.89897888882619,47.538912115777165,-0.07673111584842006,0.18117174288468818,0.02442113868892193,0.07032912224531174,0.06523870676755905,-0.06336730718612671,0.051784418523311615,8,30.000001788139343,26157.312651711734,3.178817174179213
scan_point_5,5,73.13256072998047,79.20149993896484,1.0829854602164428,951010864257.8125,6.749140739440918,59.12895202636719,5.5935235023498535,2.0000001192092896,20,0.95,26327.72265625,2.1728577613830566,30.72583114338701,31.094432538619525,-0.13315527811475658,0.5653187921902997,0.2951194643974304,0.14030665159225464,0.08253603428602219,0.07634107768535614,1.1728575229644775,14,8.000000476837158,481084.3922546832,3.3311511921733055,38.976924896240234,8.729019165039062,0.22395351065473806,82515251159.66797,-1.5469554662704468,11.225289344787598,5.848857879638672,3.0000001788139343,33,0.95,14031.693359375,1.0501552820205688,91.52633066112831,42.26820602793343,0.029066598774137337,0.1647379261326252,0.027144750580191612,0.0858287438750267,0.03382318839430809,-0.0356910340487957,0.050155170261859894,5,30.000001788139343,47269.03136198081,3.057696281992267,32.32126998901367,7.569205284118652,0.23418650587342335,83459449768.0664,0.3926689624786377,15.588493347167969,5.851255416870117,4.000000238418579,26,0.95,11635.6572265625,1.0548433065414429,86.91969342309915,49.880146337746474,0.16932619988597764,0.21661709575009416,0.07047711312770844,0.003547240048646927,0.05248616635799408,-0.08396893739700317,0.054843317717313766,7,30.000001788139343,32042.2905573434,3.1377572626266073
scan_point_6,6,251.91592407226562,1676.235595703125,6.653948542063079,18971322265625.0,9.771409034729004,97.30844116210938,3.2177138328552246,3.0000001788139343,5,0.95,90689.734375,45.27503967285156,4.397279254026341,2.639412506150337,0.46534093541646615,1.61250532128833,1.4393174648284912,1.3910022974014282,1.3357973098754883,-0.7523398399353027,44.27503204345703,1,8.000000476837158,290936804.5401998,3.3764549338832017,39.170066833496094,10.576333045959473,0.2700105948482879,95868850708.00781,0.18331025540828705,8.687492370605469,5.839695930480957,3.0000001788139343,27,0.95,14101.224609375,1.0729057788848877,77.5257752882539,39.75656093142387,-0.05576165867551676,0.23117607487538627,0.06927217543125153,0.11871007084846497,0.046247612684965134,-0.04656704515218735,0.07290571928024292,9,30.000001788139343,44274.863059392876,3.126935759356686,30.619367599487305,5.539372444152832,0.18091073978437047,54219268798.828125,-2.8966140747070312,19.009801864624023,5.860140800476074,3.0000001788139343,42,0.95,11022.97265625,1.0327287912368774,107.85348403182515,48.0063913279337,0.06777172788135001,0.1306019956284607,0.018172068521380424,0.011572221294045448,0.024580448865890503,-0.05502508953213692,0.03272869437932968,4,30.000001788139343,21865.05891642242,3.116472560934519
scan_point_7,7,72.93846893310547,73.185791015625,1.003390831835891,853622070312.5,6.576183319091797,56.152130126953125,5.621811866760254,3.0000001788139343,20,0.95,26257.84765625,2.0067927837371826,32.43774329812489,19.305386659873495,0.044797266395710675,0.67376872645043,0.14722517132759094,0.23643839359283447,0.12097159028053284,-0.177312433719635,1.0067932605743408,11,9.000000536441803,734628.696441294,3.3454018675137136,38.836273193359375,13.235060691833496,0.3407912140780945,198248519897.46094,5.492824077606201,64.41266632080078,5.831277847290039,3.0000001788139343,22,0.95,13981.05859375,1.1161386966705322,75.64149397826587,25.07135895338799,0.1620709281262523,0.21151171105989383,0.0868574008345604,0.05145031586289406,0.09068470448255539,-0.05573123320937157,0.11613864451646805,7,30.000001788139343,46561.536250333265,3.1971479342132185,31.384225845336914,6.657105922698975,0.21211630184875474,57132701873.7793,-0.8637099266052246,11.385950088500977,5.85516357421875,9.000000536441803,31,0.95,11298.3212890625,1.0449934005737305,95.24512012751126,46.46883497307846,0.04387745352490269,0.15118042005724375,0.07649067044258118,0.0892055332660675,0.1101686954498291,-0.05494779348373413,0.0449933260679245,4,30.000001788139343,36630.30882508049,2.994494649656608
scan_point_8,8,75.96772766113281,19.545120239257812,0.25728188588767853,97081588745.11719,-2.248795747756958,6.699390411376953,5.833534240722656,6.000000357627869,11,0.95,27348.3828125,1.06619393825531,68.52572084310503,32.86021184719128,0.049156269746196204,0.11291871986359796,0.01765994355082512,0.12010403722524643,0.05235230177640915,-0.02410445176064968,0.06619396805763245,4,30.000001788139343,248591.63100790948,3.0126354454967315,58.27657699584961,11.118738174438477,0.19079257478060765,67525825500.48827,-3.986759662628174,17.809389114379883,5.854480743408203,4.000000238418579,25,0.95,20979.568359375,1.0364018678665161,93.32413378972312,60.700365101133,0.17497844889730022,0.09781132270196917,0.04250066354870796,0.08931681513786316,0.03189188987016678,-0.04704377427697182,0.03640180826187134,4,30.000001788139343,101918.95027510605,3.0201564881775105,47.35525131225586,7.710665225982666,0.16282598048396574,87986701965.33203,-4.533276557922363,28.903396606445312,5.862916946411133,2.0000001192092896,54,0.95,17047.890625,1.0265122652053833,64.2166546550574,26.832867827912775,0.2825449104943643,0.08510592662219767,0.01120699942111969,0.05549756810069084,0.012563718482851982,-0.04028308764100075,0.026512300595641136,5,30.000001788139343,55050.149306345316,3.0129081268895277
scan_point_9,9,87.36590576171875,21.454185485839844,0.24556702410152836,109257720947.26562,-2.6694090366363525,8.536787033081055,5.836296558380127,5.000000298023224,12,0.95,31451.7265625,1.0603032112121582,50.363193494156455,28.60605456898426,0.06390505155014785,0.10858414649763266,0.01735687628388405,0.11816495656967163,0.05251752585172653,-0.024227511137723923,0.06030317023396492,4,30.000001788139343,304676.80051977426,3.0239797051013726,66.61354064941406,12.354325294494629,0.18546267281475448,75273590087.89062,-4.3330912590026855,20.23945426940918,5.855489730834961,4.000000238418579,17,0.95,23980.875,1.0343965291976929,79.80206537705055,60.30786377512024,0.008338146277585856,0.0937215595503643,0.03778951242566109,0.08612483739852905,0.03171393275260925,-0.045605678111314774,0.03439640626311302,4,30.000001788139343,127482.4438936979,3.0260091204369792,54.086063385009766,8.395991325378418,0.15523391424537306,59354793548.583984,-5.7013654708862305,33.12668991088867,5.8638715744018555,3.0000001788139343,47,0.95,19470.982421875,1.0240974426269531,97.49409989367692,59.90209048835195,0.2549498317003519,0.07969243069034078,0.004846485331654549,0.05809948220849037,0.019004616886377335,-0.038301631808280945,0.024097567424178123,4,30.000001788139343,71088.52695016052,3.023887535350298
