2theta Intensity
5.952139160268129503e-01 1.328416347503662109e+00
6.015387680369312928e-01 1.324444174766540527e+00
6.078636200470497464e-01 1.326073288917541504e+00
6.141884720571680889e-01 1.478587269783020020e+00
6.205133240672864314e-01 1.478587269783020020e+00
6.268381760774048850e-01 1.478587269783020020e+00
6.331630280875232275e-01 1.478587269783020020e+00
6.394878800976415700e-01 1.634532928466796875e+00
6.458127321077600236e-01 2.104853868484497070e+00
6.521375841178783661e-01 2.104853868484497070e+00
6.584624361279967086e-01 2.104853868484497070e+00
6.647872881381151622e-01 2.104853868484497070e+00
6.711121401482335047e-01 2.104853868484497070e+00
6.774369921583518472e-01 2.190694808959960938e+00
6.837618441684703008e-01 2.218741416931152344e+00
6.900866961785886433e-01 2.095021724700927734e+00
6.964115481887069858e-01 2.159039974212646484e+00
7.027364001988254394e-01 2.188982963562011719e+00
7.090612522089437819e-01 2.312700748443603516e+00
7.153861042190621244e-01 2.312700748443603516e+00
7.217109562291805780e-01 2.312700748443603516e+00
7.280358082392989205e-01 2.479628086090087891e+00
7.343606602494172630e-01 2.559313058853149414e+00
7.406855122595356056e-01 2.528489112854003906e+00
7.470103642696540591e-01 2.528489112854003906e+00
7.533352162797724016e-01 2.528489112854003906e+00
7.596600682898907442e-01 2.540501356124877930e+00
7.659849203000091977e-01 2.496061563491821289e+00
7.723097723101275403e-01 2.309334754943847656e+00
7.786346243202458828e-01 2.309334754943847656e+00
7.849594763303642253e-01 2.393602132797241211e+00
7.912843283404826789e-01 2.477535963058471680e+00
7.976091803506010214e-01 2.397595405578613281e+00
8.039340323607193639e-01 2.393901348114013672e+00
8.102588843708378175e-01 2.333835363388061523e+00
8.165837363809561600e-01 2.462397575378417969e+00
8.229085883910745025e-01 2.392143011093139648e+00
8.292334404011929561e-01 2.395949363708496094e+00
8.355582924113112986e-01 2.395949363708496094e+00
8.418831444214296411e-01 2.395949363708496094e+00
8.482079964315480947e-01 2.378322839736938477e+00
8.545328484416664372e-01 2.302031040191650391e+00
8.608577004517847797e-01 2.342909336090087891e+00
8.671825524619032333e-01 2.381175518035888672e+00
8.735074044720215758e-01 2.381453990936279297e+00
8.798322564821399183e-01 2.472111463546752930e+00
8.861571084922583719e-01 2.458958148956298828e+00
8.924819605023767144e-01 2.431992292404174805e+00
8.988068125124950569e-01 2.439510345458984375e+00
