gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 6.356781005859375000e+01 5.224744796752929688e+00
-1.774999998509883881e+02 6.249827575683593750e+01 4.339935779571533203e+00
-1.764999997913837433e+02 6.184295654296875000e+01 2.095329761505126953e+00
-1.754999997317790985e+02 6.108770370483398438e+01 2.733323097229003906e+00
-1.744999996721744253e+02 6.357012557983398438e+01 3.519805669784545898e+00
-1.734999996125698090e+02 6.382896041870117188e+01 2.273103237152099609e+00
-1.724999995529651642e+02 6.623852539062500000e+01 2.583472490310668945e+00
-1.714999994933605194e+02 6.968499755859375000e+01 5.083204746246337891e+00
-1.704999994337558746e+02 7.502357482910156250e+01 7.644207954406738281e+00
-1.694999993741512299e+02 8.137242889404296875e+01 1.370200157165527344e+01
-1.684999993145465851e+02 8.633850860595703125e+01 1.795388031005859375e+01
-1.674999992549419403e+02 8.410008239746093750e+01 1.832959747314453125e+01
-1.664999991953372955e+02 7.746827697753906250e+01 1.288258647918701172e+01
-1.654999991357326508e+02 7.316735839843750000e+01 9.432383537292480469e+00
-1.644999990761280060e+02 6.950957489013671875e+01 7.081197738647460938e+00
-1.634999990165233612e+02 6.683773040771484375e+01 5.996619701385498047e+00
-1.624999989569187164e+02 6.565817260742187500e+01 4.059432029724121094e+00
-1.614999988973140717e+02 6.414160919189453125e+01 3.931824445724487305e+00
-1.604999988377094269e+02 6.435222625732421875e+01 3.933945655822753906e+00
-1.594999987781047821e+02 6.482109069824218750e+01 5.519773006439208984e+00
-1.584999987185001373e+02 6.799138641357421875e+01 9.067726135253906250e+00
-1.574999986588954926e+02 7.337791442871093750e+01 1.410366344451904297e+01
-1.564999985992908478e+02 9.123387145996093750e+01 2.889107894897460938e+01
-1.554999985396862030e+02 1.245935974121093750e+02 6.760962677001953125e+01
-1.544999984800815582e+02 1.798591918945312500e+02 1.294498291015625000e+02
-1.534999984204769135e+02 2.044610900878906250e+02 1.620727081298828125e+02
-1.524999983608722687e+02 1.696829986572265625e+02 1.167759704589843750e+02
-1.514999983012676239e+02 1.174161300659179688e+02 5.447762680053710938e+01
-1.504999982416629791e+02 8.751776885986328125e+01 2.156385040283203125e+01
-1.494999981820583344e+02 7.241045379638671875e+01 8.540283203125000000e+00
-1.484999981224536896e+02 6.566184997558593750e+01 4.603820323944091797e+00
-1.474999980628490448e+02 6.244319534301757812e+01 3.104445934295654297e+00
-1.464999980032444000e+02 6.215755462646484375e+01 3.289128780364990234e+00
-1.454999979436397552e+02 6.337347793579101562e+01 4.046540737152099609e+00
-1.444999978840351105e+02 6.342782211303710938e+01 3.981591701507568359e+00
-1.434999978244304657e+02 6.232981491088867188e+01 4.137362957000732422e+00
-1.424999977648258209e+02 6.310807037353515625e+01 4.946071147918701172e+00
-1.414999977052211761e+02 6.100617980957031250e+01 4.137624740600585938e+00
-1.404999976456165314e+02 6.136824798583984375e+01 2.750427722930908203e+00
-1.394999975860118866e+02 6.306927108764648438e+01 4.605397224426269531e+00
-1.384999975264072418e+02 6.588731384277343750e+01 6.601072311401367188e+00
-1.374999974668025970e+02 6.948745727539062500e+01 1.025267028808593750e+01
-1.364999974071979523e+02 7.424712371826171875e+01 1.545092105865478516e+01
-1.354999973475933075e+02 1.359883422851562500e+02 1.751343841552734375e+02
-1.344999972879886627e+02 7.823526763916015625e+01 1.779185676574707031e+01
-1.334999972283840179e+02 7.371817779541015625e+01 1.319990158081054688e+01
-1.324999971687793732e+02 6.828528594970703125e+01 8.865726470947265625e+00
-1.314999971091747284e+02 6.319121932983398438e+01 6.268297672271728516e+00
-1.304999970495700836e+02 6.289373779296875000e+01 3.979179620742797852e+00
-1.294999969899654388e+02 5.950719833374023438e+01 3.961325883865356445e+00
-1.284999969303607941e+02 5.946067047119140625e+01 3.229855775833129883e+00
-1.274999968707561493e+02 5.712010192871093750e+01 3.685995101928710938e+00
-1.264999968111514903e+02 5.741033172607421875e+01 3.148775100708007812e+00
-1.254999967515468740e+02 5.636499404907226562e+01 4.357533931732177734e+00
-1.244999966919422150e+02 5.564688873291015625e+01 4.592796802520751953e+00
-1.234999966323375702e+02 5.559994888305664062e+01 4.319179058074951172e+00
-1.224999965727329112e+02 5.450471496582031250e+01 4.703848361968994141e+00
-1.214999965131282806e+02 5.335329055786132812e+01 5.397466659545898438e+00
-1.204999964535236359e+02 5.360772323608398438e+01 5.053518772125244141e+00
-1.194999963939190053e+02 5.251176071166992188e+01 4.997024536132812500e+00
-1.184999963343143605e+02 5.342245101928710938e+01 5.200280666351318359e+00
-1.174999962747097015e+02 5.272804641723632812e+01 5.590549468994140625e+00
-1.164999962151050568e+02 5.228316879272460938e+01 5.270420074462890625e+00
-1.154999961555003978e+02 5.298065567016601562e+01 4.836619853973388672e+00
-1.144999960958957672e+02 5.141188430786132812e+01 5.464328765869140625e+00
-1.134999960362911224e+02 5.203796386718750000e+01 4.940266132354736328e+00
-1.124999959766864777e+02 5.287764358520507812e+01 5.213529586791992188e+00
-1.114999959170818329e+02 5.328600311279296875e+01 5.656999111175537109e+00
-1.104999958574771881e+02 5.369844818115234375e+01 3.229393005371093750e+00
-1.094999957978725291e+02 5.404508972167968750e+01 3.303698539733886719e+00
-1.084999957382678986e+02 5.314627838134765625e+01 3.064109563827514648e+00
-1.074999956786632538e+02 5.317436981201171875e+01 3.454606533050537109e+00
-1.064999956190586090e+02 5.313124084472656250e+01 3.209020376205444336e+00
-1.054999955594539642e+02 5.212464141845703125e+01 2.451000213623046875e+00
-1.044999954998493195e+02 5.093012237548828125e+01 1.985547304153442383e+00
-1.034999954402446747e+02 5.087058258056640625e+01 2.374169349670410156e+00
-1.024999953806400299e+02 5.044527816772460938e+01 2.449287176132202148e+00
-1.014999953210353851e+02 5.096218490600585938e+01 2.419542789459228516e+00
-1.004999952614307404e+02 5.135911178588867188e+01 2.462646484375000000e+00
-9.949999520182609558e+01 5.185076904296875000e+01 1.477860689163208008e+00
-9.849999514222145081e+01 5.185705947875976562e+01 2.512984514236450195e+00
-9.749999508261680603e+01 5.441278076171875000e+01 3.197818279266357422e+00
-9.649999502301216125e+01 5.786205291748046875e+01 4.041093349456787109e+00
-9.549999496340751648e+01 6.118332672119140625e+01 6.549181461334228516e+00
-9.449999490380287170e+01 6.581289672851562500e+01 1.131131267547607422e+01
-9.349999484419822693e+01 6.844527435302734375e+01 1.486317157745361328e+01
-9.249999478459358215e+01 7.118859863281250000e+01 1.841960716247558594e+01
-9.149999472498893738e+01 6.518925476074218750e+01 1.214265537261962891e+01
-9.049999466538429260e+01 5.925313568115234375e+01 7.633460044860839844e+00
-8.949999460577964783e+01 4.923647689819335938e+01 4.591413974761962891e+00
-8.849999454617500305e+01 5.349415969848632812e+01 5.643333435058593750e+00
-8.749999448657035828e+01 5.503629302978515625e+01 1.191539859771728516e+01
-8.649999442696571350e+01 4.796258926391601562e+01 4.083528041839599609e+00
-8.549999436736106873e+01 4.448191833496093750e+01 2.431208848953247070e+00
-8.449999430775642395e+01 4.373974227905273438e+01 1.922582983970642090e+00
-8.349999424815177917e+01 4.334994888305664062e+01 2.238550186157226562e+00
-8.249999418854713440e+01 4.246828079223632812e+01 1.278560042381286621e+00
-8.149999412894248962e+01 4.223288345336914062e+01 2.117163181304931641e+00
-8.049999406933784485e+01 4.268469619750976562e+01 1.968602895736694336e+00
-7.949999400973320007e+01 4.336908721923828125e+01 2.399974107742309570e+00
-7.849999395012855530e+01 4.517019271850585938e+01 3.355856180191040039e+00
-7.749999389052391052e+01 4.921250534057617188e+01 5.102128982543945312e+00
-7.649999383091926575e+01 5.427723693847656250e+01 9.780497550964355469e+00
-7.549999377131462097e+01 5.937414932250976562e+01 1.520255279541015625e+01
-7.449999371170997620e+01 6.184415817260742188e+01 1.587924766540527344e+01
