row  column  w(Ti_K)  w(V_K)  Ti_K  V_K  s(Ti_K)  s(V_K)  chisq
0  0  1  0.362869  595.296  346.435  355.437  206.485  2.07136
1  0  1  2.95018  18.4288  87.1938  25.1515  64.7813  2.43834
2  0  1  0.292859  29622.8  13913.1  1725.77  818.302  1.58616
3  0  1  0.353938  9.05972  5.14259  16.6313  17.9608  2.25205
4  0  1  1.7024  200.258  546.751  131.591  190.427  2.32205
5  0  1  0.294669  31335.7  14808.5  377.646  204.163  1.63947
6  0  1  0.259765  39828.7  16592.7  302.922  174.322  1.73792
7  0  1  0.358841  705.165  405.819  536.086  313.008  2.09213
8  0  1  11.5288  0.668992  12.3693  14.6047  16.5348  2.09608
9  0  1  0.292989  35565.3  16711.6  327.58  191.286  1.59039
10  0  1  0.280454  29626.5  13325.4  918.829  417.542  1.67018
11  0  1  0.288596  33634.5  15567.4  690.599  334.264  1.62086
12  0  1  0.291182  31969.4  14929.2  1340.46  619.806  1.57477
13  0  1  0.274587  32006.4  14094.7  348.073  187.919  1.64647
14  0  1  0.306579  34790.7  17105.8  438.41  239.984  1.58948
15  0  1  1.33131  253.951  542.212  121.1  224.569  1.9743
16  0  1  3.77737  3.97269  24.0665  14.194  44.0103  2.34086
17  0  1  0.2834  36309  16502.6  628.894  309.168  1.65626
18  0  1  0.147976  59.461  14.1112  13.2057  68.4191  2.27476
19  0  1  0.294033  34421.7  16231.9  318.933  185.054  1.61102
20  0  1  0.298648  33796.6  16187.2  577.178  296.687  1.64234
21  0  1  0.289356  28919.9  13420.5  502.027  255.051  1.62541
22  0  1  0.282585  36231.4  16420  1834.16  881.002  1.66907
23  0  1  0.537942  10.0181  8.64294  23.1087  24.9373  89.4879
24  0  1  1.85752  35.8253  106.724  146.621  1895.05  2.28046
25  0  1  1.12245  80.6497  145.181  14.8825  69.5075  2.29062
26  0  1  0.63158  104793  106145  8081.91  10206.7  2.15392
27  0  1  0.279942  35002.7  15714.8  1380.45  627.583  1.68234
28  0  1  0.267115  38055.7  16302.6  476.402  236.499  1.61284
29  0  1  0.286452  35417.8  16271  2048.65  946.174  1.66203
30  0  1  0.146001  115.311  27  448.187  202.437  2.16628
31  0  1  0.67384  46.3901  50.1328  74.5368  23.2082  2.31998
32  0  1  0.303264  37592  18283.4  259.206  172.058  1.70208
33  0  1  0.423371  13442.2  9127.07  825.167  560.451  1.73089
34  0  1  0.580627  29.1814  27.1733  29.6299  38.8891  1.83943
35  0  1  0.248349  31966.4  12732  216.005  138.862  1.6846
36  0  1  0.733727  29.7171  34.9688  114.347  138.818  2.34474
37  0  1  0.448793  10751.1  7738.16  336.239  245.321  1.72238
38  0  1  0.297127  39770.6  18951.5  349.337  204.834  1.6557
39  0  1  0.314233  40327.7  20323.3  230.942  168.865  1.77842
40  0  1  0.314962  35440.1  17901.6  2234.35  1136.49  1.60725
41  0  1  0.406211  18892.9  12308.1  993.768  651.936  1.71229
42  0  1  0.411461  16883.4  11141.1  311.825  216.233  1.7631
43  0  1  0.369011  52.0887  30.8264  454.28  244.976  2.17604
44  0  1  0.282827  44137.4  20020.1  2238.29  1023.61  1.66493
45  0  1  1.45331  118.625  276.487  62.228  109.004  1.83547
46  0  1  0.761185  380.382  464.355  96.5001  84.8818  1.65051
47  0  1  0.28393  43970.4  20022.1  1984.38  912.493  1.70255
48  0  1  0.648081  232.176  241.316  39.8245  32.7544  148.601
49  0  1  0.851529  483.358  660.098  70.1292  54.5567  1.92832
50  0  1  0.326414  29756.6  15577.3  194.74  145.523  1.77265
51  0  1  0.255415  34361.1  14075.1  465.599  220.529  1.68272
52  0  1  0.0617378  1206.86  119.494  553.431  60.9271  1.6036
53  0  1  0.0570575  2381.96  217.965  685.17  68.9655  1.63209
54  0  1  0.260421  36916.3  15418.2  411.269  206.967  1.69016
55  0  1  0.332117  26582.5  14158.8  337.479  199.418  1.57902
56  0  1  0.307629  34811.1  17174.5  768.879  395.796  1.64378
57  0  1  0.324083  31495.3  16369.7  1034.47  541.727  1.63643
