Scan Point,Ti Mass Fraction,V Mass Fraction,V Atomic Percent
0,1.0,0.5379,33.57383451043706
1,1.0,3.777,78.01719415137572
2,1.0,1.122,51.320977730709004
3,1.0,0.146,12.06371791673006
4,1.0,11.53,91.54978420698095
5,1.0,1.331,55.568532686246776
6,1.0,0.3588,25.213618310308828
7,1.0,0.3629,25.428470432428778
8,1.0,0.3662,25.600505583573835
9,1.0,0.05088,4.5627355978899455
10,1.0,0.6481,37.848780666388805
11,1.0,0.369,25.74585354465014
12,1.0,0.4062,27.62437515002541
13,1.0,0.4115,27.884306223122728
14,1.0,0.4234,28.46117728579381
15,1.0,0.4488,29.662127357705
16,1.0,0.315,22.838656497138253
17,1.0,0.3142,22.793874676802215
18,1.0,0.3046,22.252409982226474
19,1.0,0.3016,22.081641308943254
20,1.0,0.3076,22.422431766902804
21,1.0,0.8515,44.44756479937425
22,1.0,0.9778,47.88347734215097
23,1.0,0.3231,23.289163695983987
24,1.0,0.3338,23.876275405994214
25,1.0,0.3302,23.67974826224456
26,1.0,0.324,23.33889553473069
27,1.0,0.3065,22.36017685791459
28,1.0,0.3033,22.178502213466462
29,1.0,0.2971,21.824077081490685
30,1.0,0.295,21.703296808858337
31,1.0,0.2877,21.280522335118874
32,1.0,0.001524,0.14299594332549953
33,1.0,0.2087,16.395110379961935
34,1.0,0.3321,23.783597200473462
35,1.0,0.3264,23.47119906735034
36,1.0,0.3241,23.34441731447282
37,1.0,0.3114,22.636728132374895
38,1.0,0.2839,21.0586359551836
39,1.0,0.2828,20.99417204302396
40,1.0,0.2784,20.735260113074194
41,1.0,0.2934,21.611022952022267
42,1.0,0.2826,20.982440018634506
43,1.0,0.2561,19.396511737290815
44,1.0,0.1806,14.50788274007126
45,1.0,0.2949,21.697536057618315
46,1.0,0.3103,22.57481682523491
47,1.0,0.2994,21.95593340487633
48,1.0,0.293,21.587920494627493
49,1.0,0.3066,22.36584052361151
50,1.0,0.2986,21.91012081470967
51,1.0,0.298,21.87572606024387
52,1.0,0.2972,21.829819229086176
53,1.0,0.2784,20.735260113074194
54,1.0,0.3212,23.183962073101373
55,1.0,0.5713,34.93034871949148
56,1.0,0.2975,21.847040611747648
57,1.0,0.296,21.760857735185244
58,1.0,0.2986,21.91012081470967
59,1.0,0.294,21.64565112445458
60,1.0,0.2886,21.33289179767796
61,1.0,0.2912,21.48379069834427
62,1.0,0.2947,21.68601201164888
63,1.0,0.2929,21.582142752417187
64,1.0,0.2894,21.379383969399303
65,1.0,0.148,12.20879850445787
66,1.0,0.6316,37.24406865533875
67,1.0,0.2865,21.210587826441902
68,1.0,0.2821,20.95309470814362
69,1.0,0.2855,21.152214078162125
70,1.0,0.2826,20.982440018634506
71,1.0,0.2834,21.02934722274296
72,1.0,0.2799,20.823715977513466
73,1.0,0.2671,20.06248589722783
74,1.0,0.2805,20.8590430688173
75,1.0,0.2746,20.51028483660641
76,1.0,1.702,61.52754976197937
77,1.0,0.3539,24.955214245018848
78,1.0,0.278,20.711638492387415
79,1.0,0.2739,20.46870265549306
80,1.0,0.2758,20.581467504754233
81,1.0,0.2729,20.409224016291514
82,1.0,0.2774,20.676179651576803
83,1.0,0.268,20.116487980716308
84,1.0,0.2656,19.972319992986243
85,1.0,0.2633,19.833669862119997
86,1.0,0.2778,20.699822401662242
87,1.0,1.014,48.79127320142239
88,1.0,2.95,73.48837221405296
89,1.0,0.2598,19.621756287314433
90,1.0,0.2679,20.110491352580144
91,1.0,0.2631,19.821590620937364
92,1.0,0.2648,19.92414829015311
93,1.0,0.2614,19.71876991202465
94,1.0,0.2661,20.002397886587158
95,1.0,0.2546,19.304836335739285
96,1.0,0.258,19.512335316837664
97,1.0,0.2657,19.978337380983977
98,1.0,0.6738,38.76779626880601
99,1.0,1.858,63.58135136992726
100,1.0,0.2604,19.658163860718606
101,1.0,0.2554,19.353755818693326
102,1.0,0.271,20.295969157409548
103,1.0,0.2632,19.82763069651108
104,1.0,0.257,19.451417062590732
105,1.0,0.2454,18.737966644498773
106,1.0,0.2394,18.36395847258444
107,1.0,0.2502,19.034714774360943
108,1.0,0.2483,18.917511501805336
109,1.0,0.7337,40.807802044344115
110,1.0,3.714,77.72735592147811
111,1.0,0.03294,3.0022407442045553
112,1.0,0.0279,2.554616370989339
113,1.0,0.02438,2.2395315912493086
114,1.0,0.05706,5.088734020394339
115,1.0,0.06174,5.483221069589074
116,1.0,0.4951,31.750602263556075
117,1.0,0.2213,17.21454905921287
118,1.0,0.7612,41.69952403913498
119,1.0,1.453,57.72193797782905
120,1.0,0.5806,35.29825536880641
