sample,scan_point,mean,std,cv,peak_valley,skewness,kurtosis,entropy,acf_length_deg,n_texture_peaks,completeness,integrated
scan_point_63,63,96.25558471679688,379.2380676269531,3.9399071621947668,4877561035156.25,11.036768913269043,123.23841094970703,4.727922439575195,1.0000000596046448,3,0.95,34652.01171875
scan_point_64,64,55.70665740966797,30.79473876953125,0.5528017691506075,401483184814.4531,5.7021403312683105,52.22618103027344,5.772392749786377,3.0000001788139343,10,0.95,20054.396484375
scan_point_65,65,72.69356536865234,17.4116153717041,0.23952072351114195,89852867126.46484,-2.502875804901123,8.039314270019531,5.840506076812744,5.000000298023224,3,0.95,26169.68359375
scan_point_66,66,90.23743438720703,20.67232322692871,0.22908810924548437,111853881835.9375,-2.9299607276916504,10.14282512664795,5.842780113220215,5.000000298023224,3,0.95,32485.4765625
scan_point_67,67,52.64387893676758,13.529657363891602,0.2570034282645196,106261718750.0,-1.7270267009735107,6.609382629394531,5.836599349975586,5.000000298023224,12,0.95,18951.796875
scan_point_68,68,55.15092086791992,59.15912628173828,1.0726770351381358,1127807006835.9375,16.573331832885742,297.3327331542969,5.706325531005859,1.0000000596046448,6,0.95,19854.33203125
scan_point_69,69,55.795753479003906,19.21748161315918,0.34442552371643786,211532791137.6953,2.320302963256836,23.166915893554688,5.819923400878906,4.000000238418579,11,0.95,20086.470703125
scan_point_70,70,57.04234313964844,18.338762283325195,0.32149384604396564,151158523559.5703,0.3589812219142914,6.02935791015625,5.822223663330078,5.000000298023224,10,0.95,20535.244140625
scan_point_71,71,55.97048568725586,18.845426559448242,0.3367029306257964,222167617797.85156,2.0254523754119873,21.46134376525879,5.821399211883545,3.0000001788139343,12,0.95,20149.375
scan_point_72,72,51.71725845336914,24.330108642578125,0.47044467108625576,436119628906.25,10.699494361877441,171.0550537109375,5.8066301345825195,1.0000000596046448,6,0.95,18618.212890625
scan_point_73,73,67.18978118896484,19.600168228149414,0.29171352966645053,165276153564.45312,-0.010172732174396515,7.632922172546387,5.830198764801025,4.000000238418579,14,0.95,24188.322265625
scan_point_74,74,67.98369598388672,39.4999885559082,0.5810214932308235,619650390625.0,8.101347923278809,105.06840515136719,5.771475791931152,2.0000001192092896,11,0.95,24474.130859375
scan_point_75,75,60.32853317260742,34.12143325805664,0.5655936165467671,401447998046.875,5.762314319610596,49.98384475708008,5.769100189208984,2.0000001192092896,12,0.95,21718.271484375
scan_point_76,76,76.58247375488281,18.028423309326172,0.23541186939233208,94057380676.26953,-2.6500539779663086,8.763437271118164,5.841457843780518,5.000000298023224,3,0.95,27569.69140625
scan_point_77,77,73.71961975097656,17.628976821899414,0.23913548226984557,91883636474.60938,-2.524503231048584,8.131681442260742,5.84056282043457,5.000000298023224,3,0.95,26539.064453125
scan_point_78,78,61.486328125,70.17664337158203,1.1413373592404943,1288620849609.375,15.230829238891602,258.50872802734375,5.681613922119141,1.0000000596046448,6,0.95,22135.078125
scan_point_79,79,53.86444854736328,16.404346466064453,0.304548675582189,121643394470.21484,-0.22473955154418945,4.443421363830566,5.825844764709473,7.000000417232513,8,0.95,19391.201171875
scan_point_80,80,118.59878540039062,640.95068359375,5.404361279332621,10012335937500.0,12.567949295043945,173.43763732910156,4.128209114074707,2.0000001192092896,3,0.95,42695.5625
scan_point_81,81,82.95196533203125,300.9381103515625,3.6278599204611925,5618242187500.0,17.391462326049805,315.1893005371094,5.059663772583008,1.0000000596046448,6,0.95,29862.70703125
scan_point_82,82,154.5917510986328,1426.77294921875,9.229295477146374,26118025390625.0,17.133939743041992,303.6639099121094,3.2898740768432617,1.0000000596046448,1,0.95,55653.03125
scan_point_83,83,60.73450469970703,70.75069427490234,1.164917613549644,866063293457.0312,9.917190551757812,102.83102416992188,5.641481876373291,2.0000001192092896,6,0.95,21864.421875
scan_point_84,84,52.41429138183594,20.220399856567383,0.3857802771626274,303765655517.5781,5.35099983215332,67.12188720703125,5.81539249420166,3.0000001788139343,8,0.95,18869.14453125
scan_point_85,85,55.55268478393555,17.14017105102539,0.3085390223296985,165027328491.21094,0.7681148648262024,11.453702926635742,5.826816558837891,4.000000238418579,10,0.95,19998.966796875
scan_point_86,86,61.31179428100586,15.0369234085083,0.24525335760996766,110697540283.20312,-2.2434017658233643,7.710910797119141,5.8390302658081055,6.000000357627869,9,0.95,22072.24609375
scan_point_87,87,73.57660675048828,17.657249450683594,0.2399845580071741,90624168395.9961,-2.496040105819702,7.980828285217285,5.840365886688232,5.000000298023224,3,0.95,26487.578125
