2theta Intensity
5.952139160268129503e-01 2.082860946655273438e+00
6.015387680369312928e-01 2.282843828201293945e+00
6.078636200470497464e-01 2.289393186569213867e+00
6.141884720571680889e-01 2.902487516403198242e+00
6.205133240672864314e-01 2.902487516403198242e+00
6.268381760774048850e-01 2.902487516403198242e+00
6.331630280875232275e-01 2.902487516403198242e+00
6.394878800976415700e-01 2.906863927841186523e+00
6.458127321077600236e-01 2.920063495635986328e+00
6.521375841178783661e-01 2.920063495635986328e+00
6.584624361279967086e-01 2.920063495635986328e+00
6.647872881381151622e-01 2.920063495635986328e+00
6.711121401482335047e-01 2.920063495635986328e+00
6.774369921583518472e-01 2.832159042358398438e+00
6.837618441684703008e-01 2.724375724792480469e+00
6.900866961785886433e-01 2.228089570999145508e+00
6.964115481887069858e-01 2.285337686538696289e+00
7.027364001988254394e-01 2.207535266876220703e+00
7.090612522089437819e-01 1.938567280769348145e+00
7.153861042190621244e-01 1.938567280769348145e+00
7.217109562291805780e-01 1.938567280769348145e+00
7.280358082392989205e-01 2.194443702697753906e+00
7.343606602494172630e-01 2.150846004486083984e+00
7.406855122595356056e-01 2.197781801223754883e+00
7.470103642696540591e-01 2.197781801223754883e+00
7.533352162797724016e-01 2.197781801223754883e+00
7.596600682898907442e-01 2.192801237106323242e+00
7.659849203000091977e-01 2.127460002899169922e+00
7.723097723101275403e-01 2.009050607681274414e+00
7.786346243202458828e-01 2.009050607681274414e+00
7.849594763303642253e-01 2.082406997680664062e+00
7.912843283404826789e-01 2.164129018783569336e+00
7.976091803506010214e-01 2.309412717819213867e+00
8.039340323607193639e-01 2.301589250564575195e+00
8.102588843708378175e-01 2.186123132705688477e+00
8.165837363809561600e-01 2.447840213775634766e+00
8.229085883910745025e-01 2.511733293533325195e+00
8.292334404011929561e-01 2.526441097259521484e+00
8.355582924113112986e-01 2.526441097259521484e+00
8.418831444214296411e-01 2.526441097259521484e+00
8.482079964315480947e-01 2.531696081161499023e+00
8.545328484416664372e-01 2.367868900299072266e+00
8.608577004517847797e-01 2.200579881668090820e+00
8.671825524619032333e-01 2.089406251907348633e+00
8.735074044720215758e-01 2.056561946868896484e+00
8.798322564821399183e-01 2.056144475936889648e+00
8.861571084922583719e-01 2.039913415908813477e+00
8.924819605023767144e-01 2.225333929061889648e+00
8.988068125124950569e-01 2.235433816909790039e+00
9.051316645226135105e-01 2.235433816909790039e+00
9.114565165327318530e-01 2.411142110824584961e+00
9.177813685428501955e-01 2.560618162155151367e+00
9.241062205529686491e-01 2.645257234573364258e+00
9.304310725630869916e-01 2.556796073913574219e+00
9.367559245732053341e-01 2.575523614883422852e+00
9.430807765833237877e-01 2.675766706466674805e+00
9.494056285934421302e-01 2.551193714141845703e+00
9.557304806035604727e-01 2.551193714141845703e+00
9.620553326136789263e-01 2.551193714141845703e+00
9.683801846237972688e-01 2.551193714141845703e+00
9.747050366339156113e-01 2.651316642761230469e+00
9.810298886440340649e-01 2.619429826736450195e+00
9.873547406541524074e-01 2.628284931182861328e+00
9.936795926642707499e-01 2.603858470916748047e+00
1.000004444674389203e+00 2.590737581253051758e+00
1.006329296684507657e+00 2.349576950073242188e+00
1.012654148694625889e+00 2.325146675109863281e+00
1.018979000704744342e+00 2.323491573333740234e+00
1.025303852714862796e+00 2.296373367309570312e+00
1.031628704724981027e+00 2.181610345840454102e+00
1.037953556735099481e+00 2.143207073211669922e+00
1.044278408745217712e+00 2.143207073211669922e+00
1.050603260755336166e+00 2.129614591598510742e+00
1.056928112765454619e+00 1.996777296066284180e+00
1.063252964775572851e+00 2.094542503356933594e+00
1.069577816785691304e+00 2.064097642898559570e+00
1.075902668795809758e+00 1.969549059867858887e+00
1.082227520805927989e+00 1.917823553085327148e+00
1.088552372816046443e+00 1.893814921379089355e+00
1.094877224826164896e+00 1.911981105804443359e+00
1.101202076836283350e+00 1.978547573089599609e+00
1.107526928846401582e+00 2.023054122924804688e+00
1.113851780856519813e+00 2.067327499389648438e+00
1.120176632866638489e+00 2.246603488922119141e+00
1.126501484876756720e+00 2.363586425781250000e+00
1.132826336886874952e+00 2.431243658065795898e+00
1.139151188896993627e+00 2.508347749710083008e+00
1.145476040907111859e+00 2.594479799270629883e+00
1.151800892917230090e+00 2.762877464294433594e+00
1.158125744927348766e+00 2.698271512985229492e+00
1.164450596937466997e+00 2.831518411636352539e+00
1.170775448947585229e+00 2.776167869567871094e+00
1.177100300957703682e+00 2.751616001129150391e+00
1.183425152967822136e+00 2.734393358230590820e+00
1.189750004977940367e+00 2.875988721847534180e+00
1.196074856988058821e+00 2.847379922866821289e+00
1.202399708998177275e+00 2.793136119842529297e+00
