gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 5.913549804687500000e+01 8.883437156677246094e+00
-1.774999998509883881e+02 5.998399353027343750e+01 7.836165904998779297e+00
-1.764999997913837433e+02 6.088486099243164062e+01 8.975349426269531250e+00
-1.754999997317790985e+02 6.037635803222656250e+01 8.831657409667968750e+00
-1.744999996721744253e+02 6.049898147583007812e+01 8.750430107116699219e+00
-1.734999996125698090e+02 6.067678833007812500e+01 6.429191589355468750e+00
-1.724999995529651642e+02 6.111029434204101562e+01 6.608641624450683594e+00
-1.714999994933605194e+02 5.937084579467773438e+01 5.510527610778808594e+00
-1.704999994337558746e+02 6.025914001464843750e+01 6.097414016723632812e+00
-1.694999993741512299e+02 5.913029098510742188e+01 4.576450824737548828e+00
-1.684999993145465851e+02 6.010500717163085938e+01 3.967960357666015625e+00
-1.674999992549419403e+02 5.909241867065429688e+01 4.900765419006347656e+00
-1.664999991953372955e+02 5.896192550659179688e+01 3.441743135452270508e+00
-1.654999991357326508e+02 6.033934402465820312e+01 6.515222549438476562e+00
-1.644999990761280060e+02 5.887629699707031250e+01 4.800651073455810547e+00
-1.634999990165233612e+02 5.850081253051757812e+01 3.002498388290405273e+00
-1.624999989569187164e+02 5.789392089843750000e+01 2.844745874404907227e+00
-1.614999988973140717e+02 5.859069442749023438e+01 3.104458093643188477e+00
-1.604999988377094269e+02 5.842701339721679688e+01 3.535244226455688477e+00
-1.594999987781047821e+02 5.864298629760742188e+01 4.159307956695556641e+00
-1.584999987185001373e+02 5.792152786254882812e+01 2.676374673843383789e+00
-1.574999986588954926e+02 5.717384719848632812e+01 3.017635583877563477e+00
-1.564999985992908478e+02 5.635610580444335938e+01 3.167397975921630859e+00
-1.554999985396862030e+02 5.844255447387695312e+01 4.413026332855224609e+00
-1.544999984800815582e+02 5.748509597778320312e+01 3.762879133224487305e+00
-1.534999984204769135e+02 5.808773803710937500e+01 3.508266925811767578e+00
-1.524999983608722687e+02 5.809564590454101562e+01 5.059250354766845703e+00
-1.514999983012676239e+02 5.887999343872070312e+01 4.756677627563476562e+00
-1.504999982416629791e+02 5.881444168090820312e+01 4.265284538269042969e+00
-1.494999981820583344e+02 5.797782516479492188e+01 3.972850799560546875e+00
-1.484999981224536896e+02 5.956638717651367188e+01 6.774223804473876953e+00
-1.474999980628490448e+02 6.228024673461914062e+01 1.113133335113525391e+01
-1.464999980032444000e+02 6.083480453491210938e+01 6.725840091705322266e+00
-1.454999979436397552e+02 5.962181472778320312e+01 6.228336334228515625e+00
-1.444999978840351105e+02 6.141057205200195312e+01 1.002356529235839844e+01
-1.434999978244304657e+02 5.952357482910156250e+01 6.080013751983642578e+00
-1.424999977648258209e+02 5.927569580078125000e+01 5.660764217376708984e+00
-1.414999977052211761e+02 5.792419052124023438e+01 3.911602735519409180e+00
-1.404999976456165314e+02 5.701979446411132812e+01 4.222606658935546875e+00
-1.394999975860118866e+02 5.532955551147460938e+01 2.927800416946411133e+00
-1.384999975264072418e+02 5.685447692871093750e+01 3.858107089996337891e+00
-1.374999974668025970e+02 5.690087890625000000e+01 4.051361560821533203e+00
-1.364999974071979523e+02 5.710672378540039062e+01 6.060148715972900391e+00
-1.354999973475933075e+02 5.764782714843750000e+01 6.605287551879882812e+00
-1.344999972879886627e+02 5.570535278320312500e+01 4.396916389465332031e+00
-1.334999972283840179e+02 5.654716873168945312e+01 5.120600700378417969e+00
-1.324999971687793732e+02 5.635769653320312500e+01 6.883338928222656250e+00
-1.314999971091747284e+02 5.773600769042968750e+01 6.717816352844238281e+00
-1.304999970495700836e+02 5.763497924804687500e+01 7.039388656616210938e+00
-1.294999969899654388e+02 5.771296691894531250e+01 6.347127914428710938e+00
-1.284999969303607941e+02 5.755439376831054688e+01 6.141535758972167969e+00
-1.274999968707561493e+02 5.615084838867187500e+01 5.513407707214355469e+00
-1.264999968111514903e+02 5.697378921508789062e+01 5.801581859588623047e+00
-1.254999967515468740e+02 5.548977279663085938e+01 5.287479877471923828e+00
-1.244999966919422150e+02 5.667544937133789062e+01 6.445541381835937500e+00
-1.234999966323375702e+02 5.634675216674804688e+01 5.379372596740722656e+00
-1.224999965727329112e+02 5.556347656250000000e+01 3.877932548522949219e+00
-1.214999965131282806e+02 5.629699325561523438e+01 4.523105621337890625e+00
-1.204999964535236359e+02 5.755546951293945312e+01 3.605120420455932617e+00
-1.194999963939190053e+02 5.822383499145507812e+01 6.219980239868164062e+00
-1.184999963343143605e+02 6.038116073608398438e+01 1.092478466033935547e+01
-1.174999962747097015e+02 6.343893814086914062e+01 1.608758735656738281e+01
-1.164999962151050568e+02 6.620918273925781250e+01 1.794648933410644531e+01
-1.154999961555003978e+02 6.665311431884765625e+01 1.864922714233398438e+01
-1.144999960958957672e+02 6.651511383056640625e+01 1.441451740264892578e+01
-1.134999960362911224e+02 6.479705047607421875e+01 1.266333293914794922e+01
-1.124999959766864777e+02 6.551720428466796875e+01 1.260749530792236328e+01
-1.114999959170818329e+02 6.586939239501953125e+01 1.396238231658935547e+01
-1.104999958574771881e+02 6.673369598388671875e+01 1.624992942810058594e+01
-1.094999957978725291e+02 7.207585906982421875e+01 2.607669830322265625e+01
-1.084999957382678986e+02 9.119370269775390625e+01 7.134285736083984375e+01
-1.074999956786632538e+02 9.885195922851562500e+01 8.760510253906250000e+01
-1.064999956190586090e+02 8.773738861083984375e+01 5.858465194702148438e+01
-1.054999955594539642e+02 9.539714813232421875e+01 8.789265441894531250e+01
-1.044999954998493195e+02 6.743625640869140625e+01 1.866520309448242188e+01
-1.034999954402446747e+02 6.468561553955078125e+01 1.511218070983886719e+01
-1.024999953806400299e+02 6.223046875000000000e+01 9.793797492980957031e+00
-1.014999953210353851e+02 5.857341384887695312e+01 4.422625541687011719e+00
-1.004999952614307404e+02 5.580403137207031250e+01 2.038149833679199219e+00
-9.949999520182609558e+01 5.491264724731445312e+01 1.916233658790588379e+00
-9.849999514222145081e+01 5.367876052856445312e+01 1.774496793746948242e+00
-9.749999508261680603e+01 5.291722106933593750e+01 1.713419795036315918e+00
-9.649999502301216125e+01 5.465759277343750000e+01 3.403855323791503906e+00
-9.549999496340751648e+01 5.568571472167968750e+01 4.987471580505371094e+00
-9.449999490380287170e+01 5.920408630371093750e+01 9.501463890075683594e+00
-9.349999484419822693e+01 6.910234832763671875e+01 2.447037315368652344e+01
-9.249999478459358215e+01 8.543254852294921875e+01 5.234583282470703125e+01
-9.149999472498893738e+01 1.034727783203125000e+02 9.157680511474609375e+01
-9.049999466538429260e+01 9.829882812500000000e+01 9.164368438720703125e+01
-8.949999460577964783e+01 7.240565490722656250e+01 5.177314376831054688e+01
-8.849999454617500305e+01 5.914978027343750000e+01 2.257790756225585938e+01
-8.749999448657035828e+01 5.229431533813476562e+01 9.765080451965332031e+00
-8.649999442696571350e+01 4.982048034667968750e+01 5.987199306488037109e+00
-8.549999436736106873e+01 4.841728210449218750e+01 5.266317844390869141e+00
-8.449999430775642395e+01 5.099710464477539062e+01 8.220209121704101562e+00
-8.349999424815177917e+01 5.789934158325195312e+01 1.823443603515625000e+01
-8.249999418854713440e+01 6.993439483642578125e+01 4.175315475463867188e+01
-8.149999412894248962e+01 7.969914245605468750e+01 6.362368774414062500e+01
-8.049999406933784485e+01 7.436542510986328125e+01 5.564878082275390625e+01
-7.949999400973320007e+01 6.091080856323242188e+01 2.759392547607421875e+01
-7.849999395012855530e+01 5.397056961059570312e+01 1.659852600097656250e+01
-7.749999389052391052e+01 5.189184951782226562e+01 1.119481372833251953e+01
-7.649999383091926575e+01 5.025981140136718750e+01 8.191981315612792969e+00
-7.549999377131462097e+01 4.840496826171875000e+01 4.096393108367919922e+00
-7.449999371170997620e+01 4.811518478393554688e+01 3.814080476760864258e+00
-7.349999365210533142e+01 4.816050720214843750e+01 2.517344236373901367e+00
-7.249999359250068665e+01 4.752459335327148438e+01 1.527904868125915527e+00
-7.149999353289604187e+01 4.839099121093750000e+01 1.223278403282165527e+00
-7.049999347329139709e+01 4.931164550781250000e+01 1.559333086013793945e+00
-6.949999341368675232e+01 4.930626296997070312e+01 1.710330605506896973e+00
-6.849999335408210754e+01 5.034384155273437500e+01 2.212999105453491211e+00
-6.749999329447746277e+01 5.063772201538085938e+01 1.404832720756530762e+00
-6.649999323487281799e+01 5.029479598999023438e+01 2.172497272491455078e+00
-6.549999317526817322e+01 5.152571487426757812e+01 1.847388625144958496e+00
-6.449999311566352844e+01 5.153495788574218750e+01 2.483937740325927734e+00
-6.349999305605889788e+01 5.245013046264648438e+01 3.790836572647094727e+00
-6.249999299645424600e+01 5.195809555053710938e+01 3.827949523925781250e+00
-6.149999293684959412e+01 5.293735122680664062e+01 5.765462875366210938e+00
-6.049999287724494224e+01 5.530028152465820312e+01 8.919486045837402344e+00
-5.949999281764031167e+01 5.758041381835937500e+01 1.468745040893554688e+01
-5.849999275803565979e+01 6.421211242675781250e+01 2.751581192016601562e+01
-5.749999269843100791e+01 6.804087066650390625e+01 3.541799163818359375e+01
-5.649999263882638445e+01 6.410964202880859375e+01 2.907360649108886719e+01
-5.549999257922173257e+01 5.879699707031250000e+01 1.932795906066894531e+01
