gamma  mean  std
-1.794999999701976776e+02 4.180697250366210938e+01 4.147271633148193359e+00
-1.784999999105930328e+02 4.134377288818359375e+01 9.705854654312133789e-01
-1.774999998509883881e+02 4.108318328857421875e+01 1.258646011352539062e+00
-1.764999997913837433e+02 4.110034561157226562e+01 1.871516704559326172e+00
-1.754999997317790985e+02 4.063286972045898438e+01 2.222954988479614258e+00
-1.744999996721744253e+02 4.139480972290039062e+01 1.295252561569213867e+00
-1.734999996125698090e+02 4.318762207031250000e+01 1.826738357543945312e+00
-1.724999995529651642e+02 4.505639266967773438e+01 1.103589177131652832e+00
-1.714999994933605194e+02 4.786333084106445312e+01 1.681765794754028320e+00
-1.704999994337558746e+02 4.942491912841796875e+01 1.158931970596313477e+00
-1.694999993741512299e+02 5.355334091186523438e+01 1.549935579299926758e+00
-1.684999993145465851e+02 5.595351791381835938e+01 3.097420454025268555e+00
-1.674999992549419403e+02 5.893302536010742188e+01 3.804615974426269531e+00
-1.664999991953372955e+02 6.034720611572265625e+01 5.237993717193603516e+00
-1.654999991357326508e+02 5.940331649780273438e+01 6.554687023162841797e+00
-1.644999990761280060e+02 5.827066421508789062e+01 5.244784832000732422e+00
-1.634999990165233612e+02 5.428045654296875000e+01 3.966760158538818359e+00
-1.624999989569187164e+02 5.215891647338867188e+01 4.006570816040039062e+00
-1.614999988973140717e+02 5.175888824462890625e+01 2.965016841888427734e+00
-1.604999988377094269e+02 4.776506805419921875e+01 2.634144306182861328e+00
-1.594999987781047821e+02 4.754010772705078125e+01 2.615352153778076172e+00
-1.584999987185001373e+02 4.803229904174804688e+01 5.554165363311767578e+00
-1.574999986588954926e+02 4.660070037841796875e+01 2.268593788146972656e+00
-1.564999985992908478e+02 4.651929092407226562e+01 1.758566498756408691e+00
-1.554999985396862030e+02 4.674596405029296875e+01 1.342500329017639160e+00
-1.544999984800815582e+02 4.771660232543945312e+01 2.271255970001220703e+00
-1.534999984204769135e+02 4.980711746215820312e+01 3.331200361251831055e+00
-1.524999983608722687e+02 5.146438217163085938e+01 3.225549936294555664e+00
-1.514999983012676239e+02 5.331355667114257812e+01 2.685105562210083008e+00
-1.504999982416629791e+02 5.394548416137695312e+01 2.854850053787231445e+00
-1.494999981820583344e+02 5.331027603149414062e+01 1.265255451202392578e+00
-1.484999981224536896e+02 5.084394073486328125e+01 1.710044264793395996e+00
-1.474999980628490448e+02 4.877429199218750000e+01 2.392277717590332031e+00
-1.464999980032444000e+02 4.576745605468750000e+01 2.467976331710815430e+00
-1.454999979436397552e+02 4.429131698608398438e+01 2.289102792739868164e+00
-1.444999978840351105e+02 4.281097030639648438e+01 1.722581148147583008e+00
-1.434999978244304657e+02 4.372478103637695312e+01 2.209340095520019531e+00
-1.424999977648258209e+02 4.306612777709960938e+01 9.019404053688049316e-01
-1.414999977052211761e+02 4.431317520141601562e+01 1.622949361801147461e+00
-1.404999976456165314e+02 4.274010467529296875e+01 1.706955432891845703e+00
-1.394999975860118866e+02 4.169577789306640625e+01 1.653603196144104004e+00
-1.384999975264072418e+02 3.996982955932617188e+01 1.458306431770324707e+00
-1.374999974668025970e+02 3.843352508544921875e+01 1.635791063308715820e+00
-1.364999974071979523e+02 3.698150253295898438e+01 1.140201807022094727e+00
-1.354999973475933075e+02 3.657343292236328125e+01 9.335440993309020996e-01
-1.344999972879886627e+02 3.618758392333984375e+01 1.030020833015441895e+00
-1.334999972283840179e+02 3.604857254028320312e+01 1.548940300941467285e+00
-1.324999971687793732e+02 3.566120910644531250e+01 5.439900755882263184e-01
-1.314999971091747284e+02 3.541675567626953125e+01 6.951816082000732422e-01
-1.304999970495700836e+02 3.555002593994140625e+01 4.654929935932159424e-01
-1.294999969899654388e+02 3.488643646240234375e+01 1.200008273124694824e+00
-1.284999969303607941e+02 3.583234405517578125e+01 4.048987030982971191e-01
