gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 8.366336822509765625e+01 2.068884658813476562e+01
-1.774999998509883881e+02 7.283272552490234375e+01 9.433117866516113281e+00
-1.764999997913837433e+02 6.979328918457031250e+01 9.316171646118164062e+00
-1.754999997317790985e+02 6.464471435546875000e+01 3.930216073989868164e+00
-1.744999996721744253e+02 6.413442993164062500e+01 4.271551132202148438e+00
-1.734999996125698090e+02 6.501625061035156250e+01 8.088768959045410156e+00
-1.724999995529651642e+02 8.084891510009765625e+01 4.373148727416992188e+01
-1.714999994933605194e+02 6.600581359863281250e+01 1.050107002258300781e+01
-1.704999994337558746e+02 6.127032089233398438e+01 2.260466575622558594e+00
-1.694999993741512299e+02 6.052176666259765625e+01 2.382502794265747070e+00
-1.684999993145465851e+02 6.059041976928710938e+01 1.721628308296203613e+00
-1.674999992549419403e+02 6.103421783447265625e+01 1.767994523048400879e+00
-1.664999991953372955e+02 6.213161087036132812e+01 1.318631291389465332e+00
-1.654999991357326508e+02 6.049480438232421875e+01 2.281824350357055664e+00
-1.644999990761280060e+02 6.081425094604492188e+01 1.532276391983032227e+00
-1.634999990165233612e+02 6.103731918334960938e+01 1.564012765884399414e+00
-1.624999989569187164e+02 6.134279632568359375e+01 1.479802846908569336e+00
-1.614999988973140717e+02 6.276886367797851562e+01 2.459545373916625977e+00
-1.604999988377094269e+02 6.334062194824218750e+01 2.038824081420898438e+00
-1.594999987781047821e+02 6.596170806884765625e+01 1.940226316452026367e+00
-1.584999987185001373e+02 6.991805267333984375e+01 2.917856216430664062e+00
-1.574999986588954926e+02 7.717813873291015625e+01 6.150978565216064453e+00
-1.564999985992908478e+02 9.058789062500000000e+01 1.566720104217529297e+01
-1.554999985396862030e+02 1.175876464843750000e+02 3.700106811523437500e+01
-1.544999984800815582e+02 1.577287750244140625e+02 7.309666442871093750e+01
-1.534999984204769135e+02 2.330201263427734375e+02 1.637328796386718750e+02
-1.524999983608722687e+02 3.494902954101562500e+02 3.584034729003906250e+02
