2theta Intensity
5.952139160268129503e-01 2.925232887268066406e+00
6.015387680369312928e-01 2.997181892395019531e+00
6.078636200470497464e-01 2.994782924652099609e+00
6.141884720571680889e-01 2.770199298858642578e+00
6.205133240672864314e-01 2.770199298858642578e+00
6.268381760774048850e-01 2.770199298858642578e+00
6.331630280875232275e-01 2.770199298858642578e+00
6.394878800976415700e-01 2.868983268737792969e+00
6.458127321077600236e-01 3.166908740997314453e+00
6.521375841178783661e-01 3.166908740997314453e+00
6.584624361279967086e-01 3.166908740997314453e+00
6.647872881381151622e-01 3.166908740997314453e+00
6.711121401482335047e-01 3.166908740997314453e+00
6.774369921583518472e-01 3.246876239776611328e+00
6.837618441684703008e-01 3.190588474273681641e+00
6.900866961785886433e-01 2.730597257614135742e+00
6.964115481887069858e-01 2.624660730361938477e+00
7.027364001988254394e-01 2.611363649368286133e+00
7.090612522089437819e-01 2.449536085128784180e+00
7.153861042190621244e-01 2.449536085128784180e+00
7.217109562291805780e-01 2.449536085128784180e+00
7.280358082392989205e-01 2.428110122680664062e+00
7.343606602494172630e-01 2.245795488357543945e+00
7.406855122595356056e-01 2.177059888839721680e+00
7.470103642696540591e-01 2.177059888839721680e+00
7.533352162797724016e-01 2.177059888839721680e+00
7.596600682898907442e-01 2.223365545272827148e+00
7.659849203000091977e-01 2.291016578674316406e+00
7.723097723101275403e-01 2.158601045608520508e+00
7.786346243202458828e-01 2.158601045608520508e+00
7.849594763303642253e-01 2.003681182861328125e+00
7.912843283404826789e-01 1.955924272537231445e+00
7.976091803506010214e-01 2.476699352264404297e+00
8.039340323607193639e-01 2.594105243682861328e+00
8.102588843708378175e-01 2.589772224426269531e+00
8.165837363809561600e-01 2.519242048263549805e+00
8.229085883910745025e-01 2.378272294998168945e+00
8.292334404011929561e-01 2.381943702697753906e+00
8.355582924113112986e-01 2.381943702697753906e+00
8.418831444214296411e-01 2.381943702697753906e+00
8.482079964315480947e-01 2.375613689422607422e+00
8.545328484416664372e-01 2.713634490966796875e+00
8.608577004517847797e-01 2.843385457992553711e+00
8.671825524619032333e-01 2.829717159271240234e+00
8.735074044720215758e-01 2.831052064895629883e+00
8.798322564821399183e-01 2.449225425720214844e+00
8.861571084922583719e-01 2.430875062942504883e+00
8.924819605023767144e-01 2.510136842727661133e+00
8.988068125124950569e-01 2.359694480895996094e+00
9.051316645226135105e-01 2.359694480895996094e+00
9.114565165327318530e-01 2.335536003112792969e+00
9.177813685428501955e-01 2.274678945541381836e+00
9.241062205529686491e-01 2.332436323165893555e+00
