gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 8.850688934326171875e+01 4.268463611602783203e+00
-1.774999998509883881e+02 8.913333129882812500e+01 3.009122848510742188e+00
-1.764999997913837433e+02 8.883266448974609375e+01 3.212598562240600586e+00
-1.754999997317790985e+02 8.932006835937500000e+01 3.835245847702026367e+00
-1.744999996721744253e+02 8.950734710693359375e+01 3.083288669586181641e+00
-1.734999996125698090e+02 8.953159332275390625e+01 2.730635643005371094e+00
-1.724999995529651642e+02 9.047531127929687500e+01 4.107823371887207031e+00
-1.714999994933605194e+02 8.915322113037109375e+01 3.837847948074340820e+00
-1.704999994337558746e+02 9.013294219970703125e+01 2.183039665222167969e+00
-1.694999993741512299e+02 8.884682464599609375e+01 3.144385099411010742e+00
-1.684999993145465851e+02 9.008721923828125000e+01 3.419632434844970703e+00
-1.674999992549419403e+02 8.991579437255859375e+01 2.905807018280029297e+00
-1.664999991953372955e+02 9.056350708007812500e+01 3.090789794921875000e+00
-1.654999991357326508e+02 8.956707000732421875e+01 3.360368013381958008e+00
-1.644999990761280060e+02 8.981316375732421875e+01 2.561214208602905273e+00
-1.634999990165233612e+02 9.021964263916015625e+01 2.143225908279418945e+00
-1.624999989569187164e+02 8.987292480468750000e+01 3.563531637191772461e+00
-1.614999988973140717e+02 9.020871734619140625e+01 3.917649507522583008e+00
-1.604999988377094269e+02 8.892184448242187500e+01 2.757851839065551758e+00
-1.594999987781047821e+02 8.996545410156250000e+01 3.856495618820190430e+00
-1.584999987185001373e+02 8.907263183593750000e+01 3.522025823593139648e+00
-1.574999986588954926e+02 8.964542388916015625e+01 3.447615861892700195e+00
-1.564999985992908478e+02 8.942943572998046875e+01 3.366469621658325195e+00
-1.554999985396862030e+02 9.014743041992187500e+01 4.017114639282226562e+00
-1.544999984800815582e+02 8.909918975830078125e+01 3.727917194366455078e+00
-1.534999984204769135e+02 8.855813598632812500e+01 3.123122692108154297e+00
-1.524999983608722687e+02 8.833100128173828125e+01 4.104586124420166016e+00
-1.514999983012676239e+02 8.967166900634765625e+01 3.402593135833740234e+00
-1.504999982416629791e+02 8.857500457763671875e+01 2.905752897262573242e+00
-1.494999981820583344e+02 8.862447357177734375e+01 3.037963867187500000e+00
-1.484999981224536896e+02 8.932469940185546875e+01 3.518010139465332031e+00
-1.474999980628490448e+02 8.813925933837890625e+01 3.569349765777587891e+00
-1.464999980032444000e+02 8.885979461669921875e+01 2.582686424255371094e+00
-1.454999979436397552e+02 8.934627532958984375e+01 3.179847717285156250e+00
-1.444999978840351105e+02 8.887337493896484375e+01 4.239611625671386719e+00
-1.434999978244304657e+02 8.941283416748046875e+01 3.538656711578369141e+00
-1.424999977648258209e+02 8.954470062255859375e+01 4.785123348236083984e+00
-1.414999977052211761e+02 8.939440155029296875e+01 3.452178239822387695e+00
-1.404999976456165314e+02 9.003027343750000000e+01 4.872587680816650391e+00
-1.394999975860118866e+02 8.946176910400390625e+01 3.252650737762451172e+00
-1.384999975264072418e+02 8.932440185546875000e+01 3.120225667953491211e+00
-1.374999974668025970e+02 8.891625213623046875e+01 3.027752161026000977e+00
-1.364999974071979523e+02 8.909455108642578125e+01 3.090404272079467773e+00
-1.354999973475933075e+02 8.985852813720703125e+01 3.496503591537475586e+00
-1.344999972879886627e+02 8.942587280273437500e+01 2.242230892181396484e+00
